# vtime(s),emu-avail(%) for mode:absolute target-avail(%)=0.9000
5,1.0000
9,1.0000
13,1.0000
15,1.0000
18,1.0000
19,1.0000
19,1.0000
22,1.0000
25,1.0000
26,1.0000
30,1.0000
31,1.0000
32,1.0000
34,1.0000
35,1.0000
37,1.0000
40,1.0000
43,1.0000
43,1.0000
43,1.0000
43,1.0000
44,1.0000
49,1.0000
53,1.0000
53,1.0000
56,1.0000
60,1.0000
64,1.0000
65,1.0000
67,1.0000
67,1.0000
67,1.0000
67,1.0000
71,1.0000
76,1.0000
78,1.0000
82,1.0000
82,1.0000
85,1.0000
88,1.0000
90,1.0000
91,1.0000
92,1.0000
94,1.0000
98,1.0000
99,1.0000
102,0.9787
104,0.9583
108,0.9388
112,0.9200
114,0.9020
116,0.8846
118,0.8679
123,0.8519
123,0.8364
127,0.8393
128,0.8421
130,0.8448
133,0.8475
136,0.8500
141,0.8525
146,0.8548
148,0.8571
151,0.8594
152,0.8615
157,0.8636
160,0.8657
164,0.8676
167,0.8696
167,0.8714
169,0.8732
169,0.8750
171,0.8767
175,0.8784
177,0.8800
181,0.8816
184,0.8831
188,0.8846
193,0.8861
194,0.8875
196,0.8889
201,0.8902
205,0.8916
208,0.8929
211,0.8941
215,0.8953
216,0.8966
221,0.8977
222,0.8989
226,0.9000
229,0.9011
233,0.9022
235,0.9032
236,0.9043
236,0.9053
240,0.9062
242,0.9072
246,0.9082
249,0.9091
249,0.9100
253,0.9109
255,0.9118
256,0.9126
258,0.9135
260,0.9143
262,0.9151
267,0.9159
271,0.9167
271,0.9174
273,0.9182
276,0.9189
279,0.9196
284,0.9204
285,0.9211
287,0.9217
287,0.9224
290,0.9231
294,0.9237
295,0.9244
297,0.9250
298,0.9256
300,0.9262
304,0.9268
304,0.9274
307,0.9280
310,0.9286
314,0.9291
319,0.9297
322,0.9302
322,0.9308
323,0.9313
325,0.9318
326,0.9323
328,0.9328
329,0.9333
329,0.9338
333,0.9343
333,0.9348
337,0.9353
337,0.9357
342,0.9362
345,0.9366
348,0.9371
350,0.9375
352,0.9379
357,0.9384
358,0.9388
363,0.9392
363,0.9396
364,0.9400
366,0.9404
368,0.9408
372,0.9412
374,0.9416
375,0.9419
377,0.9423
378,0.9427
382,0.9430
382,0.9434
383,0.9437
387,0.9441
392,0.9444
392,0.9448
396,0.9451
397,0.9455
398,0.9458
400,0.9461
402,0.9464
407,0.9467
412,0.9471
412,0.9474
414,0.9477
415,0.9480
417,0.9483
420,0.9486
420,0.9489
423,0.9492
425,0.9494
429,0.9497
430,0.9500
434,0.9503
435,0.9505
437,0.9508
441,0.9511
