# vtime(s),emu-avail(%) for mode:combinatory target-avail(%)=0.9000
0,1.0000
0,1.0000
4,0.6667
5,0.5000
6,0.4000
10,0.3333
15,0.4286
17,0.5000
20,0.5556
23,0.6000
27,0.6364
28,0.6667
33,0.6923
36,0.7143
37,0.7333
37,0.7500
38,0.7647
39,0.7778
43,0.7895
48,0.8000
53,0.8095
55,0.8182
58,0.8261
59,0.8333
59,0.8400
61,0.8462
64,0.8519
67,0.8571
68,0.8621
72,0.8667
73,0.8710
75,0.8750
76,0.8788
78,0.8824
78,0.8857
80,0.8889
81,0.8919
81,0.8947
85,0.8974
89,0.9000
91,0.9024
95,0.9048
98,0.9070
103,0.9091
107,0.9111
108,0.9130
109,0.9149
114,0.9167
118,0.9184
119,0.9200
123,0.9216
125,0.9231
127,0.9245
129,0.9259
130,0.9273
131,0.9286
133,0.9298
134,0.9310
134,0.9322
135,0.9333
137,0.9344
141,0.9355
141,0.9365
142,0.9375
144,0.9385
146,0.9394
149,0.9403
149,0.9412
152,0.9420
152,0.9429
155,0.9437
157,0.9444
159,0.9452
162,0.9459
163,0.9467
163,0.9474
164,0.9481
164,0.9487
168,0.9494
168,0.9500
170,0.9506
175,0.9512
178,0.9518
183,0.9524
187,0.9529
187,0.9535
188,0.9540
193,0.9545
194,0.9551
198,0.9556
199,0.9560
200,0.9565
204,0.9570
205,0.9574
206,0.9579
211,0.9583
212,0.9588
216,0.9592
220,0.9596
220,0.9600
224,0.9604
227,0.9608
230,0.9612
233,0.9615
234,0.9619
239,0.9623
241,0.9626
243,0.9630
245,0.9633
250,0.9636
253,0.9640
254,0.9643
258,0.9646
259,0.9649
264,0.9652
267,0.9655
270,0.9658
275,0.9661
276,0.9664
279,0.9667
281,0.9669
281,0.9672
285,0.9675
289,0.9677
291,0.9680
296,0.9683
296,0.9685
299,0.9688
302,0.9690
303,0.9692
303,0.9695
308,0.9697
311,0.9699
316,0.9701
318,0.9704
319,0.9706
322,0.9708
326,0.9710
326,0.9712
328,0.9714
332,0.9716
335,0.9718
337,0.9720
341,0.9722
345,0.9724
349,0.9726
352,0.9728
353,0.9730
355,0.9732
356,0.9733
359,0.9735
360,0.9737
362,0.9739
365,0.9740
366,0.9742
367,0.9744
370,0.9745
372,0.9747
374,0.9748
379,0.9750
380,0.9752
385,0.9753
387,0.9755
390,0.9756
390,0.9758
391,0.9759
395,0.9760
399,0.9762
399,0.9763
401,0.9765
403,0.9766
403,0.9767
408,0.9769
408,0.9770
408,0.9771
410,0.9773
414,0.9774
418,0.9775
420,0.9777
421,0.9778
425,0.9779
427,0.9780
428,0.9781
432,0.9783
436,0.9784
440,0.9785
445,0.9786
449,0.9787
451,0.9788
455,0.9789
460,0.9791
461,0.9792
464,0.9793
468,0.9794
470,0.9795
471,0.9796
474,0.9797
475,0.9798
475,0.9799
477,0.9800
478,0.9801
482,0.9802
486,0.9803
489,0.9804
491,0.9805
492,0.9806
492,0.9807
496,0.9808
498,0.9809
499,0.9810
500,0.9810
502,0.9811
506,0.9812
508,0.9813
512,0.9814
516,0.9815
518,0.9816
519,0.9817
523,0.9817
528,0.9818
529,0.9819
533,0.9820
537,0.9821
538,0.9821
540,0.9822
545,0.9823
545,0.9824
550,0.9825
552,0.9825
553,0.9826
557,0.9827
560,0.9828
561,0.9828
563,0.9829
567,0.9830
572,0.9831
576,0.9831
580,0.9832
580,0.9833
583,0.9833
584,0.9834
587,0.9835
591,0.9835
592,0.9836
596,0.9837
599,0.9837
602,0.9838
604,0.9839
609,0.9839
614,0.9840
617,0.9841
619,0.9841
621,0.9842
626,0.9843
628,0.9843
633,0.9844
636,0.9844
638,0.9845
638,0.9846
639,0.9846
641,0.9847
641,0.9847
644,0.9848
644,0.9848
648,0.9849
650,0.9850
651,0.9850
655,0.9851
655,0.9851
658,0.9852
661,0.9852
662,0.9853
667,0.9853
670,0.9854
671,0.9855
672,0.9855
677,0.9856
677,0.9856
678,0.9857
679,0.9857
682,0.9858
684,0.9858
688,0.9859
692,0.9859
697,0.9860
698,0.9860
700,0.9861
701,0.9861
703,0.9862
706,0.9862
710,0.9863
711,0.9863
711,0.9863
714,0.9864
717,0.9864
718,0.9865
721,0.9865
725,0.9866
727,0.9866
727,0.9867
729,0.9867
733,0.9868
737,0.9868
738,0.9868
739,0.9869
742,0.9869
746,0.9870
748,0.9870
750,0.9871
752,0.9871
754,0.9871
759,0.9872
761,0.9872
766,0.9873
767,0.9873
770,0.9873
773,0.9874
774,0.9874
774,0.9875
775,0.9875
779,0.9875
780,0.9876
784,0.9845
787,0.9815
790,0.9785
794,0.9755
795,0.9725
800,0.9695
801,0.9666
803,0.9636
806,0.9607
806,0.9578
811,0.9550
814,0.9521
814,0.9493
817,0.9464
821,0.9436
822,0.9408
826,0.9381
826,0.9353
829,0.9326
832,0.9298
835,0.9271
840,0.9244
842,0.9217
846,0.9191
847,0.9164
850,0.9138
854,0.9112
859,0.9086
863,0.9060
866,0.9034
870,0.9037
874,0.9040
877,0.9042
878,0.9045
880,0.9048
883,0.9050
886,0.9053
889,0.9056
889,0.9058
890,0.9061
891,0.9063
895,0.9066
899,0.9068
904,0.9071
906,0.9074
910,0.9076
911,0.9079
914,0.9081
914,0.9084
918,0.9086
919,0.9088
923,0.9091
928,0.9093
932,0.9096
