# vtime(s),emu-avail(%) for mode:picav+ target-avail(%)=0.9000
1,1.0000
2,1.0000
3,1.0000
8,1.0000
8,1.0000
10,1.0000
14,1.0000
16,1.0000
19,1.0000
20,1.0000
20,1.0000
22,1.0000
26,1.0000
28,1.0000
32,1.0000
36,1.0000
36,1.0000
39,1.0000
40,1.0000
43,1.0000
43,1.0000
44,1.0000
44,1.0000
47,1.0000
51,1.0000
51,1.0000
56,1.0000
60,1.0000
61,1.0000
64,1.0000
67,1.0000
67,1.0000
67,1.0000
72,1.0000
73,1.0000
75,1.0000
78,1.0000
80,1.0000
84,1.0000
87,1.0000
91,1.0000
93,1.0000
94,1.0000
97,1.0000
101,1.0000
104,1.0000
105,1.0000
109,1.0000
110,1.0000
113,1.0000
114,1.0000
117,1.0000
121,1.0000
124,1.0000
128,1.0000
132,1.0000
135,1.0000
136,1.0000
138,1.0000
138,1.0000
141,1.0000
144,1.0000
147,1.0000
152,1.0000
153,1.0000
156,1.0000
157,1.0000
158,1.0000
163,1.0000
163,1.0000
168,1.0000
171,1.0000
173,1.0000
175,1.0000
178,1.0000
179,1.0000
181,1.0000
185,1.0000
185,1.0000
188,1.0000
190,1.0000
190,1.0000
191,1.0000
196,1.0000
198,1.0000
200,1.0000
203,1.0000
208,1.0000
208,1.0000
209,1.0000
209,1.0000
211,1.0000
214,1.0000
217,1.0000
219,1.0000
221,1.0000
224,1.0000
227,1.0000
227,1.0000
231,1.0000
236,1.0000
241,1.0000
242,1.0000
242,1.0000
245,1.0000
246,1.0000
250,1.0000
252,1.0000
252,1.0000
256,1.0000
259,1.0000
262,1.0000
265,1.0000
269,1.0000
274,1.0000
275,1.0000
278,1.0000
278,1.0000
279,1.0000
282,1.0000
286,1.0000
288,1.0000
289,1.0000
292,1.0000
294,1.0000
299,1.0000
301,1.0000
304,1.0000
308,1.0000
309,1.0000
311,1.0000
313,1.0000
317,1.0000
322,1.0000
323,1.0000
324,1.0000
326,1.0000
330,1.0000
335,1.0000
338,1.0000
341,1.0000
343,1.0000
343,1.0000
343,1.0000
346,1.0000
347,1.0000
352,1.0000
352,1.0000
354,1.0000
356,1.0000
358,1.0000
361,1.0000
361,1.0000
365,1.0000
369,1.0000
373,1.0000
374,1.0000
375,1.0000
379,1.0000
383,1.0000
388,1.0000
392,1.0000
396,1.0000
399,1.0000
401,1.0000
403,1.0000
406,1.0000
410,1.0000
412,1.0000
415,1.0000
419,1.0000
421,1.0000
423,1.0000
424,1.0000
425,1.0000
425,1.0000
426,1.0000
430,1.0000
434,1.0000
436,1.0000
437,1.0000
440,1.0000
442,1.0000
442,1.0000
444,1.0000
447,1.0000
450,1.0000
451,1.0000
453,1.0000
453,1.0000
456,1.0000
458,1.0000
463,1.0000
465,1.0000
470,1.0000
474,1.0000
475,1.0000
479,1.0000
481,1.0000
486,1.0000
489,1.0000
494,1.0000
498,1.0000
499,1.0000
501,1.0000
502,1.0000
506,1.0000
510,1.0000
513,1.0000
514,1.0000
514,1.0000
519,1.0000
523,1.0000
524,1.0000
529,1.0000
530,1.0000
531,1.0000
533,1.0000
534,1.0000
535,1.0000
536,1.0000
540,1.0000
543,1.0000
548,1.0000
550,1.0000
551,1.0000
556,1.0000
557,1.0000
560,1.0000
564,1.0000
566,1.0000
568,1.0000
570,1.0000
574,1.0000
577,1.0000
581,1.0000
585,1.0000
