# vtime(s),emu-avail(%) for mode:picav target-avail(%)=0.9000
5,1.0000
7,1.0000
9,1.0000
14,1.0000
15,1.0000
15,1.0000
16,1.0000
16,1.0000
16,1.0000
21,1.0000
22,1.0000
25,1.0000
27,1.0000
31,1.0000
36,1.0000
40,1.0000
41,1.0000
44,1.0000
48,1.0000
51,1.0000
56,1.0000
58,1.0000
61,1.0000
66,1.0000
68,1.0000
69,1.0000
74,1.0000
79,1.0000
81,1.0000
81,1.0000
86,1.0000
89,1.0000
89,1.0000
90,1.0000
94,1.0000
99,1.0000
100,1.0000
102,1.0000
106,1.0000
110,1.0000
114,1.0000
119,1.0000
122,1.0000
126,1.0000
130,1.0000
133,1.0000
135,1.0000
135,1.0000
136,1.0000
137,1.0000
139,1.0000
141,1.0000
144,1.0000
145,1.0000
148,1.0000
150,1.0000
153,1.0000
156,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
166,1.0000
166,1.0000
169,1.0000
173,1.0000
176,1.0000
179,1.0000
180,1.0000
181,1.0000
184,1.0000
187,1.0000
192,1.0000
194,1.0000
194,1.0000
199,1.0000
201,1.0000
204,1.0000
208,1.0000
210,1.0000
213,1.0000
218,1.0000
218,1.0000
222,1.0000
226,1.0000
226,1.0000
228,1.0000
231,1.0000
232,1.0000
232,1.0000
234,1.0000
239,1.0000
242,1.0000
243,1.0000
243,1.0000
243,1.0000
245,1.0000
248,1.0000
249,1.0000
252,1.0000
256,1.0000
261,1.0000
261,1.0000
264,1.0000
267,1.0000
268,1.0000
270,1.0000
272,1.0000
275,1.0000
276,1.0000
279,1.0000
282,1.0000
284,1.0000
288,1.0000
292,1.0000
295,1.0000
300,1.0000
303,1.0000
303,1.0000
304,1.0000
305,1.0000
308,1.0000
309,1.0000
311,1.0000
315,1.0000
315,1.0000
319,1.0000
322,1.0000
323,1.0000
323,1.0000
326,1.0000
331,1.0000
335,1.0000
339,1.0000
341,1.0000
344,1.0000
346,1.0000
347,1.0000
351,1.0000
352,1.0000
355,1.0000
356,1.0000
356,1.0000
360,1.0000
363,1.0000
368,1.0000
372,1.0000
374,1.0000
379,1.0000
380,1.0000
385,1.0000
389,1.0000
389,1.0000
392,1.0000
394,1.0000
398,1.0000
401,1.0000
402,1.0000
407,1.0000
410,1.0000
414,1.0000
418,1.0000
418,1.0000
418,1.0000
422,1.0000
425,1.0000
425,1.0000
430,1.0000
433,1.0000
435,1.0000
436,1.0000
438,1.0000
438,1.0000
439,1.0000
444,1.0000
445,1.0000
449,1.0000
453,1.0000
457,1.0000
462,1.0000
462,1.0000
465,1.0000
469,1.0000
470,1.0000
474,1.0000
478,1.0000
481,1.0000
481,1.0000
481,1.0000
482,1.0000
483,1.0000
484,1.0000
487,1.0000
491,1.0000
495,1.0000
498,1.0000
502,1.0000
505,1.0000
508,1.0000
508,1.0000
513,1.0000
514,1.0000
515,1.0000
516,1.0000
518,1.0000
519,1.0000
520,1.0000
521,1.0000
523,1.0000
524,1.0000
526,1.0000
529,1.0000
532,1.0000
533,1.0000
534,1.0000
536,1.0000
539,1.0000
542,1.0000
546,1.0000
550,1.0000
554,1.0000
556,1.0000
557,1.0000
560,1.0000
561,1.0000
561,1.0000
563,1.0000
563,1.0000
563,1.0000
566,1.0000
568,1.0000
569,1.0000
573,1.0000
575,1.0000
578,1.0000
583,1.0000
588,1.0000
589,1.0000
590,1.0000
594,1.0000
595,1.0000
597,1.0000
599,1.0000
600,1.0000
600,1.0000
604,1.0000
606,1.0000
606,1.0000
610,1.0000
612,1.0000
615,1.0000
619,1.0000
622,1.0000
624,1.0000
628,1.0000
631,1.0000
635,1.0000
636,1.0000
640,1.0000
644,1.0000
646,1.0000
647,1.0000
650,1.0000
655,1.0000
655,1.0000
659,1.0000
659,1.0000
662,1.0000
665,1.0000
670,1.0000
671,1.0000
673,1.0000
678,1.0000
682,1.0000
686,1.0000
690,1.0000
