# vtime(s),emu-avail(%) for mode:proportional target-avail(%)=0.9000
4,1.0000
8,1.0000
12,1.0000
15,1.0000
16,1.0000
16,1.0000
18,1.0000
19,1.0000
23,1.0000
27,1.0000
31,1.0000
32,1.0000
33,1.0000
38,1.0000
41,1.0000
43,1.0000
45,1.0000
50,1.0000
51,1.0000
54,1.0000
57,1.0000
61,0.9545
61,0.9130
64,0.8750
69,0.8400
70,0.8077
72,0.8148
72,0.8214
76,0.8276
80,0.8333
82,0.8387
86,0.8438
86,0.8485
87,0.8529
92,0.8571
96,0.8611
101,0.8649
105,0.8684
105,0.8718
106,0.8750
107,0.8780
108,0.8810
109,0.8837
110,0.8864
111,0.8889
116,0.8913
121,0.8936
123,0.8958
124,0.8980
128,0.9000
132,0.9020
133,0.9038
134,0.9057
136,0.9074
137,0.9091
140,0.8929
142,0.8772
142,0.8621
144,0.8475
145,0.8333
148,0.8197
150,0.8065
154,0.7937
156,0.7812
157,0.7692
157,0.7576
160,0.7612
163,0.7647
164,0.7681
166,0.7714
168,0.7746
170,0.7778
175,0.7808
175,0.7838
179,0.7867
181,0.7895
185,0.7922
190,0.7949
194,0.7975
199,0.8000
203,0.8025
205,0.8049
208,0.8072
212,0.8095
212,0.8118
216,0.8140
217,0.8161
218,0.8182
221,0.8202
222,0.8222
226,0.8242
226,0.8261
231,0.8280
235,0.8298
236,0.8316
239,0.8333
240,0.8351
244,0.8367
248,0.8384
248,0.8400
252,0.8416
254,0.8431
257,0.8447
260,0.8462
263,0.8476
263,0.8491
263,0.8505
266,0.8519
268,0.8532
270,0.8545
274,0.8559
278,0.8571
281,0.8584
283,0.8596
286,0.8609
289,0.8621
292,0.8632
294,0.8644
295,0.8655
298,0.8667
299,0.8678
300,0.8689
303,0.8699
306,0.8710
306,0.8720
307,0.8730
311,0.8740
312,0.8750
316,0.8760
319,0.8769
323,0.8779
326,0.8788
328,0.8797
329,0.8806
331,0.8815
333,0.8824
337,0.8832
341,0.8841
344,0.8849
345,0.8857
346,0.8865
346,0.8873
348,0.8881
351,0.8889
354,0.8897
358,0.8904
362,0.8912
366,0.8919
368,0.8926
373,0.8933
374,0.8940
378,0.8947
380,0.8954
381,0.8961
381,0.8968
383,0.8974
387,0.8981
390,0.8987
392,0.8994
397,0.9000
398,0.9006
400,0.9012
404,0.9018
405,0.9024
406,0.9030
407,0.9036
407,0.9042
412,0.9048
417,0.9053
419,0.9059
423,0.9064
427,0.9070
431,0.9075
432,0.9080
436,0.9086
439,0.9091
443,0.9096
447,0.9101
450,0.9106
452,0.9111
455,0.9116
457,0.9121
458,0.9126
463,0.9130
464,0.9135
467,0.9140
468,0.9144
468,0.9149
469,0.9153
473,0.9158
475,0.9162
478,0.9167
478,0.9171
479,0.9175
483,0.9179
488,0.9184
493,0.9188
497,0.9192
500,0.9196
502,0.9200
502,0.9204
505,0.9208
510,0.9212
511,0.9216
511,0.9220
511,0.9223
512,0.9227
513,0.9231
513,0.9234
517,0.9238
520,0.9242
521,0.9245
523,0.9249
524,0.9252
527,0.9256
529,0.9259
529,0.9263
530,0.9266
532,0.9269
535,0.9273
539,0.9276
544,0.9279
544,0.9283
549,0.9286
549,0.9289
551,0.9292
555,0.9295
558,0.9298
560,0.9301
562,0.9304
565,0.9307
570,0.9310
572,0.9313
576,0.9316
580,0.9319
583,0.9322
586,0.9325
590,0.9328
592,0.9331
595,0.9333
598,0.9336
602,0.9339
602,0.9342
603,0.9344
605,0.9347
609,0.9350
609,0.9352
611,0.9355
616,0.9357
618,0.9360
619,0.9363
624,0.9365
625,0.9368
630,0.9370
633,0.9373
636,0.9375
636,0.9377
637,0.9380
638,0.9382
640,0.9385
643,0.9387
647,0.9389
652,0.9392
653,0.9394
654,0.9396
655,0.9398
660,0.9401
663,0.9403
666,0.9405
667,0.9407
671,0.9410
672,0.9412
677,0.9414
680,0.9416
685,0.9418
690,0.9420
690,0.9422
694,0.9424
696,0.9427
698,0.9429
699,0.9431
702,0.9433
704,0.9435
708,0.9437
711,0.9439
715,0.9441
719,0.9443
723,0.9444
728,0.9446
731,0.9448
734,0.9450
736,0.9452
736,0.9454
737,0.9456
737,0.9458
739,0.9459
742,0.9461
744,0.9463
744,0.9465
748,0.9467
753,0.9468
753,0.9470
757,0.9472
760,0.9474
764,0.9475
767,0.9477
771,0.9479
772,0.9481
776,0.9482
780,0.9484
782,0.9486
785,0.9487
789,0.9489
790,0.9490
791,0.9492
793,0.9494
797,0.9495
800,0.9497
804,0.9498
804,0.9500
806,0.9502
807,0.9503
807,0.9505
807,0.9506
811,0.9477
813,0.9448
816,0.9419
820,0.9390
822,0.9362
827,0.9333
828,0.9305
829,0.9277
831,0.9249
835,0.9222
837,0.9194
837,0.9167
838,0.9139
841,0.9112
842,0.9086
846,0.9059
850,0.9032
852,0.9006
853,0.8980
855,0.8953
856,0.8928
858,0.8902
858,0.8876
862,0.8851
863,0.8825
864,0.8800
866,0.8775
870,0.8750
870,0.8725
871,0.8701
875,0.8676
879,0.8652
880,0.8627
880,0.8603
885,0.8579
