# vtime(s),emu-avail(%) for mode:combinatory target-avail(%)=0.6000
4,1.0000
9,1.0000
12,1.0000
14,1.0000
18,1.0000
19,1.0000
19,1.0000
23,1.0000
25,1.0000
26,1.0000
30,1.0000
31,1.0000
35,1.0000
39,1.0000
44,0.9333
46,0.8750
51,0.8235
51,0.7778
56,0.7368
57,0.7000
58,0.6667
60,0.6364
64,0.6522
65,0.6667
67,0.6800
70,0.6923
74,0.7037
75,0.7143
76,0.7241
79,0.7333
83,0.7419
87,0.7500
88,0.7576
91,0.7647
96,0.7714
99,0.7778
104,0.7838
109,0.7895
112,0.7949
112,0.8000
115,0.8049
117,0.8095
120,0.8140
120,0.8182
124,0.8222
128,0.8261
130,0.8298
134,0.8333
137,0.8367
140,0.8400
145,0.8431
149,0.8269
150,0.8113
152,0.7963
152,0.7818
157,0.7679
157,0.7544
162,0.7586
166,0.7627
167,0.7667
168,0.7705
170,0.7742
175,0.7778
175,0.7812
177,0.7846
180,0.7879
182,0.7910
186,0.7941
191,0.7971
195,0.8000
196,0.8028
198,0.8056
198,0.8082
202,0.8108
205,0.8133
208,0.8158
212,0.8182
214,0.8205
217,0.8228
221,0.8250
221,0.8272
223,0.8293
225,0.8193
226,0.8095
229,0.8000
232,0.7907
233,0.7816
237,0.7727
241,0.7753
243,0.7778
245,0.7802
250,0.7826
253,0.7849
254,0.7872
255,0.7895
256,0.7917
259,0.7938
260,0.7959
260,0.7980
264,0.8000
267,0.8020
272,0.8039
273,0.8058
277,0.8077
278,0.8095
279,0.8113
280,0.8131
283,0.8148
285,0.8165
289,0.8091
292,0.8018
294,0.7946
295,0.7876
296,0.7807
300,0.7739
302,0.7672
306,0.7607
309,0.7627
312,0.7647
314,0.7667
316,0.7686
318,0.7705
319,0.7724
320,0.7742
321,0.7760
324,0.7778
327,0.7795
331,0.7812
332,0.7829
335,0.7846
340,0.7863
341,0.7879
346,0.7895
346,0.7910
351,0.7926
354,0.7941
355,0.7956
356,0.7971
356,0.7986
361,0.8000
366,0.8014
370,0.8028
373,0.8042
377,0.8056
381,0.8069
382,0.8082
383,0.8095
386,0.8108
388,0.8121
389,0.8133
392,0.8146
392,0.8158
392,0.8170
393,0.8182
395,0.8194
396,0.8205
400,0.8217
402,0.8228
405,0.8239
409,0.8250
412,0.8261
412,0.8272
412,0.8282
413,0.8293
414,0.8303
415,0.8313
417,0.8323
418,0.8333
420,0.8343
424,0.8353
429,0.8363
429,0.8372
434,0.8324
437,0.8276
437,0.8229
442,0.8182
444,0.8136
446,0.8090
447,0.8045
450,0.8000
451,0.7956
455,0.7912
456,0.7869
457,0.7826
461,0.7784
462,0.7742
462,0.7701
463,0.7660
465,0.7619
469,0.7632
471,0.7644
473,0.7656
474,0.7668
476,0.7680
