# vtime(s),emu-avail(%) for mode:picav target-avail(%)=0.6000
0,1.0000
3,0.5000
4,0.3333
4,0.2500
8,0.4000
13,0.5000
14,0.5714
17,0.6250
21,0.6667
22,0.7000
24,0.7273
26,0.7500
28,0.7692
31,0.7143
33,0.6667
37,0.6250
39,0.6471
43,0.6667
47,0.6842
50,0.7000
55,0.7143
58,0.7273
60,0.7391
62,0.7500
65,0.7600
68,0.7692
70,0.7778
73,0.7857
78,0.7931
80,0.8000
83,0.8065
87,0.8125
88,0.8182
88,0.8235
91,0.8286
93,0.8333
94,0.8378
95,0.8421
96,0.8462
98,0.8500
101,0.8537
102,0.8571
104,0.8372
107,0.8182
112,0.8000
115,0.8043
116,0.8085
117,0.8125
121,0.8163
124,0.8200
125,0.8235
130,0.8269
134,0.8302
134,0.8333
135,0.8364
140,0.8393
145,0.8421
146,0.8448
147,0.8475
147,0.8500
149,0.8525
151,0.8548
153,0.8571
157,0.8594
161,0.8615
165,0.8636
166,0.8657
171,0.8529
174,0.8406
178,0.8286
180,0.8169
181,0.8056
184,0.7945
186,0.7838
188,0.7733
191,0.7632
194,0.7532
196,0.7436
201,0.7342
203,0.7250
206,0.7160
208,0.7073
208,0.6988
212,0.7024
216,0.7059
218,0.7093
221,0.7126
224,0.7159
225,0.7191
228,0.7222
233,0.7253
235,0.7283
235,0.7312
238,0.7340
239,0.7368
244,0.7396
245,0.7423
245,0.7449
249,0.7475
251,0.7500
252,0.7525
253,0.7549
256,0.7573
258,0.7500
260,0.7429
261,0.7358
263,0.7290
267,0.7222
271,0.7156
272,0.7091
272,0.7027
276,0.6964
277,0.6903
282,0.6842
285,0.6783
285,0.6724
286,0.6667
288,0.6610
288,0.6555
291,0.6583
292,0.6612
294,0.6639
299,0.6667
300,0.6694
305,0.6720
307,0.6746
311,0.6772
311,0.6797
316,0.6822
316,0.6846
318,0.6870
318,0.6894
322,0.6917
322,0.6940
324,0.6963
324,0.6985
326,0.7007
328,0.7029
329,0.7050
332,0.7071
336,0.7092
337,0.7113
339,0.7133
340,0.7153
340,0.7172
341,0.7192
345,0.7211
348,0.7230
348,0.7248
351,0.7267
353,0.7285
355,0.7303
359,0.7320
362,0.7338
365,0.7355
369,0.7372
371,0.7389
372,0.7405
376,0.7421
377,0.7438
381,0.7453
381,0.7469
382,0.7485
384,0.7500
385,0.7515
385,0.7530
386,0.7545
388,0.7560
392,0.7574
392,0.7588
397,0.7602
400,0.7616
400,0.7630
402,0.7644
402,0.7657
403,0.7670
408,0.7684
409,0.7697
414,0.7709
416,0.7722
418,0.7735
422,0.7747
427,0.7760
427,0.7772
428,0.7784
428,0.7796
432,0.7807
436,0.7766
438,0.7725
441,0.7684
443,0.7644
445,0.7604
446,0.7565
448,0.7526
452,0.7487
457,0.7449
458,0.7411
461,0.7374
462,0.7337
467,0.7350
470,0.7363
472,0.7376
472,0.7389
473,0.7402
478,0.7415
481,0.7427
486,0.7440
487,0.7452
491,0.7464
495,0.7476
497,0.7488
499,0.7500
501,0.7512
502,0.7523
503,0.7535
507,0.7546
507,0.7558
511,0.7569
515,0.7580
515,0.7591
519,0.7602
522,0.7613
525,0.7623
529,0.7634
531,0.7644
533,0.7655
534,0.7665
535,0.7675
537,0.7686
539,0.7696
540,0.7706
540,0.7716
542,0.7725
544,0.7735
547,0.7745
549,0.7754
549,0.7764
554,0.7773
557,0.7782
561,0.7792
565,0.7801
566,0.7810
568,0.7819
568,0.7828
572,0.7837
572,0.7846
573,0.7814
576,0.7782
576,0.7751
580,0.7760
581,0.7769
583,0.7778
588,0.7787
592,0.7795
595,0.7804
599,0.7812
600,0.7821
605,0.7829
606,0.7838
608,0.7846
608,0.7854
608,0.7863
612,0.7871
615,0.7879
619,0.7887
621,0.7895
622,0.7903
623,0.7910
628,0.7918
633,0.7889
633,0.7860
638,0.7831
640,0.7802
641,0.7774
645,0.7745
648,0.7717
653,0.7690
655,0.7662
660,0.7634
664,0.7607
667,0.7580
668,0.7553
671,0.7527
671,0.7500
673,0.7474
677,0.7448
677,0.7422
681,0.7396
683,0.7370
687,0.7345
689,0.7320
693,0.7295
697,0.7270
698,0.7245
700,0.7220
704,0.7196
708,0.7172
711,0.7148
713,0.7124
716,0.7100
718,0.7110
721,0.7119
725,0.7129
727,0.7138
730,0.7148
730,0.7157
735,0.7166
739,0.7175
739,0.7184
743,0.7194
743,0.7203
747,0.7212
748,0.7220
753,0.7229
755,0.7238
756,0.7247
757,0.7256
758,0.7264
758,0.7273
761,0.7281
761,0.7290
765,0.7298
768,0.7307
770,0.7315
773,0.7323
774,0.7331
775,0.7339
779,0.7348
783,0.7356
787,0.7364
791,0.7372
795,0.7380
798,0.7387
801,0.7395
806,0.7403
808,0.7381
810,0.7359
811,0.7337
814,0.7316
817,0.7294
817,0.7273
820,0.7251
820,0.7230
824,0.7209
826,0.7188
828,0.7168
828,0.7147
832,0.7126
833,0.7106
834,0.7086
836,0.7094
841,0.7102
844,0.7110
849,0.7119
853,0.7127
856,0.7135
858,0.7143
859,0.7151
860,0.7159
862,0.7167
863,0.7175
866,0.7182
871,0.7190
875,0.7198
876,0.7205
878,0.7213
879,0.7221
884,0.7228
887,0.7236
891,0.7243
895,0.7251
897,0.7258
899,0.7265
904,0.7273
908,0.7280
911,0.7287
915,0.7294
916,0.7302
917,0.7309
921,0.7316
922,0.7323
923,0.7330
927,0.7337
928,0.7344
933,0.7351
934,0.7358
935,0.7364
940,0.7371
944,0.7378
948,0.7385
950,0.7391
952,0.7398
957,0.7405
959,0.7411
961,0.7418
961,0.7424
961,0.7431
964,0.7437
969,0.7444
973,0.7450
973,0.7456
977,0.7463
980,0.7469
983,0.7475
986,0.7481
989,0.7488
990,0.7494
992,0.7500
995,0.7506
997,0.7512
1000,0.7518
1001,0.7524
1002,0.7530
1007,0.7536
1007,0.7542
1007,0.7548
1007,0.7554
1007,0.7560
1009,0.7566
1011,0.7571
1012,0.7577
1015,0.7583
1019,0.7589
1021,0.7594
1026,0.7600
1027,0.7606
1030,0.7611
1034,0.7617
1037,0.7622
1041,0.7628
1046,0.7633
1048,0.7639
1049,0.7644
1052,0.7650
1053,0.7655
1055,0.7661
1059,0.7643
1063,0.7626
1067,0.7608
1071,0.7591
1074,0.7574
1075,0.7557
1079,0.7540
1079,0.7523
1084,0.7506
1086,0.7489
1089,0.7472
1091,0.7455
1092,0.7439
1093,0.7422
1095,0.7406
1096,0.7389
1098,0.7373
1099,0.7357
1102,0.7341
1106,0.7325
1111,0.7309
1114,0.7293
1117,0.7277
1117,0.7261
1120,0.7245
1120,0.7229
1121,0.7214
1121,0.7198
1126,0.7183
1130,0.7167
1131,0.7152
1135,0.7137
1138,0.7122
1138,0.7106
1142,0.7091
1144,0.7076
1146,0.7061
1147,0.7046
1152,0.7053
1156,0.7059
1159,0.7065
1163,0.7071
1166,0.7077
1169,0.7083
1172,0.7089
1172,0.7095
1176,0.7101
1181,0.7107
1182,0.7113
1187,0.7119
1187,0.7125
1190,0.7131
1194,0.7137
1195,0.7143
1198,0.7149
1199,0.7154
1201,0.7160
1205,0.7166
1208,0.7172
1210,0.7177
1213,0.7183
1215,0.7189
1216,0.7194
1216,0.7200
1217,0.7206
1220,0.7211
1224,0.7217
1226,0.7222
1230,0.7228
1234,0.7233
1237,0.7239
1238,0.7244
1240,0.7250
1242,0.7255
1246,0.7260
1247,0.7266
1251,0.7271
1254,0.7276
1256,0.7282
1256,0.7287
1259,0.7292
1259,0.7297
1262,0.7303
1265,0.7308
1268,0.7313
1272,0.7318
1273,0.7323
1274,0.7328
1275,0.7333
1278,0.7338
1279,0.7343
1280,0.7348
1281,0.7353
1285,0.7358
1288,0.7363
1288,0.7368
1293,0.7373
1295,0.7378
1298,0.7383
1299,0.7388
1302,0.7393
1303,0.7398
1307,0.7403
1308,0.7407
1311,0.7412
1314,0.7417
1317,0.7422
1318,0.7426
1321,0.7431
1325,0.7436
1327,0.7441
1328,0.7445
1330,0.7450
1330,0.7455
1331,0.7459
1334,0.7464
1338,0.7468
1340,0.7473
1344,0.7477
1345,0.7464
1348,0.7451
1350,0.7437
1352,0.7424
1355,0.7411
1358,0.7398
1361,0.7384
1365,0.7371
1367,0.7358
1367,0.7345
1371,0.7332
1372,0.7319
1376,0.7306
1380,0.7293
1383,0.7281
1385,0.7268
1386,0.7255
1390,0.7243
1393,0.7230
1395,0.7217
1395,0.7205
1399,0.7210
1400,0.7215
1402,0.7219
1406,0.7224
1410,0.7229
1413,0.7234
1415,0.7238
1417,0.7243
1419,0.7248
1423,0.7253
1427,0.7257
1432,0.7262
1434,0.7267
1436,0.7271
1439,0.7276
1439,0.7280
1443,0.7285
1447,0.7290
1449,0.7294
1450,0.7299
1451,0.7303
1453,0.7308
1453,0.7312
1455,0.7317
1455,0.7321
1458,0.7326
1462,0.7330
1464,0.7334
1469,0.7339
1472,0.7343
1477,0.7348
1477,0.7352
1479,0.7356
1481,0.7361
1482,0.7365
1483,0.7369
1487,0.7374
1490,0.7378
1493,0.7382
1497,0.7386
1498,0.7391
1500,0.7395
1501,0.7399
1504,0.7403
1506,0.7407
1508,0.7412
1511,0.7416
1512,0.7420
1517,0.7424
1519,0.7428
1523,0.7432
1525,0.7436
1527,0.7440
1531,0.7444
1536,0.7448
1539,0.7453
1542,0.7457
1544,0.7461
1546,0.7465
1547,0.7469
1551,0.7473
1556,0.7476
1557,0.7480
1560,0.7469
1563,0.7457
1563,0.7445
1564,0.7434
1566,0.7422
1571,0.7411
1575,0.7399
1580,0.7388
1584,0.7392
1585,0.7396
1587,0.7400
1589,0.7404
1593,0.7408
1594,0.7412
1597,0.7416
1600,0.7420
1602,0.7424
1606,0.7428
1607,0.7432
1612,0.7436
1615,0.7439
1617,0.7443
1621,0.7447
1621,0.7451
1621,0.7455
1624,0.7459
1626,0.7462
1629,0.7466
1630,0.7470
1630,0.7474
1633,0.7478
1637,0.7481
1642,0.7485
1643,0.7489
1644,0.7493
1646,0.7496
1648,0.7500
1650,0.7504
1654,0.7507
1654,0.7511
1658,0.7515
1660,0.7518
1663,0.7522
1667,0.7526
1672,0.7529
1672,0.7533
1675,0.7536
1677,0.7540
1679,0.7544
1683,0.7547
1683,0.7551
1687,0.7554
1690,0.7558
1691,0.7561
1693,0.7565
1693,0.7568
1693,0.7572
1698,0.7575
1698,0.7579
1702,0.7582
1707,0.7586
1710,0.7589
1714,0.7593
1718,0.7596
1718,0.7599
1719,0.7603
1724,0.7606
1727,0.7610
1729,0.7613
1734,0.7602
1735,0.7592
1738,0.7581
1741,0.7570
1745,0.7560
1750,0.7549
1750,0.7538
1751,0.7528
1752,0.7517
1753,0.7507
1754,0.7497
1758,0.7486
1759,0.7476
1760,0.7465
1761,0.7455
1764,0.7445
1768,0.7434
1773,0.7424
1775,0.7414
1777,0.7404
1781,0.7394
1782,0.7384
1785,0.7373
1790,0.7363
1794,0.7353
1799,0.7343
1800,0.7333
1804,0.7323
1806,0.7313
1807,0.7304
1811,0.7294
1814,0.7284
1818,0.7274
1822,0.7264
1827,0.7254
1831,0.7245
1833,0.7235
1834,0.7225
1836,0.7216
1836,0.7206
1841,0.7210
1843,0.7213
1847,0.7217
1847,0.7221
