# vtime(s),emu-avail(%) for mode:random target-avail(%)=0.6000
5,0.0000
6,0.0000
9,0.0000
14,0.0000
15,0.0000
19,0.0000
23,0.0000
28,0.0000
33,0.0000
34,0.0000
37,0.0000
38,0.0000
42,0.0000
44,0.0000
46,0.0000
47,0.0000
50,0.0000
52,0.0000
52,0.0000
55,0.0000
59,0.0000
59,0.0000
61,0.0000
63,0.0000
64,0.0000
69,0.0000
73,0.0000
77,0.0000
77,0.0345
80,0.0333
80,0.0323
84,0.0312
85,0.0303
89,0.0294
90,0.0286
91,0.0278
95,0.0270
98,0.0263
103,0.0256
106,0.0250
107,0.0244
110,0.0238
114,0.0233
117,0.0227
120,0.0222
121,0.0217
124,0.0213
126,0.0208
130,0.0204
132,0.0200
136,0.0392
140,0.0577
141,0.0755
144,0.0926
144,0.1091
147,0.1250
151,0.1404
151,0.1552
153,0.1695
154,0.1833
156,0.1967
158,0.2097
163,0.2063
165,0.2031
165,0.2000
169,0.1970
170,0.1940
170,0.1912
173,0.1884
177,0.1857
179,0.1831
180,0.1806
184,0.1781
189,0.1757
192,0.1733
193,0.1711
198,0.1688
199,0.1667
200,0.1646
203,0.1625
204,0.1605
208,0.1585
212,0.1566
216,0.1548
217,0.1529
218,0.1512
220,0.1494
222,0.1477
226,0.1461
231,0.1444
234,0.1429
234,0.1413
237,0.1398
240,0.1383
244,0.1368
246,0.1354
250,0.1340
253,0.1327
254,0.1313
258,0.1300
261,0.1287
265,0.1275
270,0.1262
271,0.1250
271,0.1238
272,0.1226
273,0.1215
273,0.1204
273,0.1193
278,0.1182
282,0.1171
286,0.1161
286,0.1150
286,0.1140
291,0.1130
292,0.1121
292,0.1111
293,0.1102
294,0.1092
296,0.1083
298,0.1074
299,0.1066
300,0.1057
304,0.1048
306,0.1040
308,0.1032
313,0.1024
317,0.1016
319,0.1008
323,0.1000
325,0.0992
328,0.0985
330,0.0977
333,0.0970
337,0.0963
337,0.0956
337,0.0949
338,0.0942
340,0.0935
341,0.0929
344,0.0922
347,0.0915
352,0.0909
353,0.0903
358,0.0897
359,0.0890
359,0.0884
362,0.0878
363,0.0872
365,0.0867
368,0.0861
369,0.0855
370,0.0850
370,0.0844
372,0.0839
376,0.0833
378,0.0828
379,0.0823
383,0.0818
384,0.0813
387,0.0807
388,0.0802
388,0.0798
389,0.0793
392,0.0788
392,0.0783
396,0.0778
398,0.0774
400,0.0769
405,0.0765
410,0.0760
412,0.0756
417,0.0751
419,0.0747
420,0.0743
424,0.0739
426,0.0734
428,0.0730
430,0.0726
433,0.0722
437,0.0718
440,0.0714
441,0.0710
444,0.0707
446,0.0703
450,0.0699
452,0.0695
455,0.0691
456,0.0688
459,0.0684
461,0.0681
466,0.0677
467,0.0674
469,0.0670
470,0.0667
474,0.0663
475,0.0660
478,0.0657
479,0.0653
482,0.0700
483,0.0746
488,0.0792
491,0.0837
491,0.0833
491,0.0829
492,0.0825
495,0.0821
498,0.0817
503,0.0813
503,0.0810
508,0.0806
513,0.0802
514,0.0798
518,0.0794
518,0.0791
521,0.0787
522,0.0783
527,0.0780
530,0.0776
532,0.0773
532,0.0769
532,0.0766
534,0.0762
538,0.0759
543,0.0756
546,0.0752
547,0.0749
548,0.0746
550,0.0742
554,0.0739
554,0.0736
555,0.0733
555,0.0730
556,0.0726
558,0.0723
560,0.0720
563,0.0717
566,0.0714
570,0.0711
575,0.0708
576,0.0705
578,0.0702
579,0.0700
584,0.0697
588,0.0694
593,0.0691
597,0.0688
600,0.0685
603,0.0683
605,0.0680
608,0.0677
609,0.0675
610,0.0672
613,0.0669
613,0.0667
616,0.0664
621,0.0661
623,0.0659
625,0.0656
629,0.0654
634,0.0651
635,0.0649
636,0.0646
638,0.0644
641,0.0642
645,0.0639
647,0.0637
652,0.0634
655,0.0632
658,0.0630
662,0.0627
663,0.0625
666,0.0623
668,0.0620
671,0.0618
675,0.0616
677,0.0614
678,0.0612
679,0.0609
679,0.0607
680,0.0605
682,0.0603
686,0.0601
690,0.0599
694,0.0596
697,0.0594
698,0.0592
702,0.0590
704,0.0588
708,0.0586
710,0.0584
715,0.0582
718,0.0580
720,0.0578
725,0.0576
726,0.0574
729,0.0572
731,0.0570
733,0.0569
734,0.0567
735,0.0565
740,0.0563
742,0.0561
746,0.0559
748,0.0557
750,0.0556
750,0.0554
754,0.0552
755,0.0550
755,0.0548
760,0.0547
763,0.0545
764,0.0543
766,0.0541
767,0.0540
771,0.0538
775,0.0536
777,0.0535
779,0.0533
781,0.0531
782,0.0530
785,0.0528
787,0.0526
789,0.0525
790,0.0523
790,0.0521
792,0.0520
795,0.0518
799,0.0517
802,0.0515
804,0.0514
805,0.0512
809,0.0511
810,0.0509
815,0.0507
817,0.0506
817,0.0504
821,0.0503
822,0.0501
826,0.0500
829,0.0499
833,0.0497
836,0.0496
838,0.0494
843,0.0493
847,0.0491
849,0.0490
853,0.0489
855,0.0487
857,0.0486
862,0.0484
864,0.0483
868,0.0482
869,0.0480
873,0.0479
874,0.0478
877,0.0476
881,0.0475
883,0.0474
886,0.0472
889,0.0471
893,0.0470
896,0.0468
898,0.0467
903,0.0466
906,0.0464
906,0.0463
906,0.0462
909,0.0461
911,0.0459
915,0.0458
918,0.0457
919,0.0456
921,0.0455
925,0.0453
925,0.0452
928,0.0451
930,0.0450
934,0.0449
938,0.0447
941,0.0446
942,0.0445
946,0.0444
946,0.0443
950,0.0442
952,0.0440
955,0.0439
958,0.0438
962,0.0437
967,0.0436
970,0.0435
973,0.0434
976,0.0433
981,0.0431
984,0.0430
985,0.0429
986,0.0428
986,0.0427
987,0.0426
990,0.0425
993,0.0424
995,0.0423
996,0.0422
998,0.0421
999,0.0420
1002,0.0419
1003,0.0418
1005,0.0417
1008,0.0416
1008,0.0415
1010,0.0414
1015,0.0413
1017,0.0412
1022,0.0411
1026,0.0410
1028,0.0409
1031,0.0408
1032,0.0407
1034,0.0406
1038,0.0405
1039,0.0404
1042,0.0403
1044,0.0402
1048,0.0401
1052,0.0400
1055,0.0399
1058,0.0398
1059,0.0397
1062,0.0396
1064,0.0395
1067,0.0394
1069,0.0394
1072,0.0393
1076,0.0392
1078,0.0391
1079,0.0390
1079,0.0389
1084,0.0388
1086,0.0387
1086,0.0386
1089,0.0385
1089,0.0385
1090,0.0384
1094,0.0383
1097,0.0382
1098,0.0381
1098,0.0380
1102,0.0379
1104,0.0379
1104,0.0378
1107,0.0377
1110,0.0376
1112,0.0375
1114,0.0374
1115,0.0374
1117,0.0373
1120,0.0372
1124,0.0371
1126,0.0370
1127,0.0370
1130,0.0369
1131,0.0368
1131,0.0367
1132,0.0366
1132,0.0366
1134,0.0365
1134,0.0364
1136,0.0363
1141,0.0362
1146,0.0362
1146,0.0361
1149,0.0360
1154,0.0359
1157,0.0359
1157,0.0358
1159,0.0357
1160,0.0356
1164,0.0356
1166,0.0355
1169,0.0354
1173,0.0353
1174,0.0353
1176,0.0352
1176,0.0351
1177,0.0351
1180,0.0350
1184,0.0349
1185,0.0348
1190,0.0348
1194,0.0347
1196,0.0346
1196,0.0346
1200,0.0345
1203,0.0344
1204,0.0343
1206,0.0343
1211,0.0342
1215,0.0341
1216,0.0341
1218,0.0340
1220,0.0339
1220,0.0339
1223,0.0338
1227,0.0337
1229,0.0337
1231,0.0336
1236,0.0335
1240,0.0335
1241,0.0334
1244,0.0333
1246,0.0333
1246,0.0332
1249,0.0331
1252,0.0331
1255,0.0330
1260,0.0329
1260,0.0329
1263,0.0328
1264,0.0328
1268,0.0327
1272,0.0326
1276,0.0326
1278,0.0325
1279,0.0324
1281,0.0324
1282,0.0323
1283,0.0323
1286,0.0322
1286,0.0321
1290,0.0321
1292,0.0320
1296,0.0320
1298,0.0319
1300,0.0318
1302,0.0318
1305,0.0317
1308,0.0317
1309,0.0316
1312,0.0315
1316,0.0315
1319,0.0314
1323,0.0314
1325,0.0313
1330,0.0312
1331,0.0312
1332,0.0311
1333,0.0311
1338,0.0310
1341,0.0310
1342,0.0309
1345,0.0309
1348,0.0308
1351,0.0307
1352,0.0307
1355,0.0306
1359,0.0306
1360,0.0305
1362,0.0305
1366,0.0304
1369,0.0304
1371,0.0303
1372,0.0302
1375,0.0302
1377,0.0301
1381,0.0301
1383,0.0300
1384,0.0300
1388,0.0299
1390,0.0299
1391,0.0298
1395,0.0298
1399,0.0297
1403,0.0297
1407,0.0296
1412,0.0296
1416,0.0295
1419,0.0295
1423,0.0294
1427,0.0294
1429,0.0293
1431,0.0293
1432,0.0292
1436,0.0292
1438,0.0291
1441,0.0291
1445,0.0290
1446,0.0290
1449,0.0289
1454,0.0289
1457,0.0288
1457,0.0288
1461,0.0304
1461,0.0320
1464,0.0337
1465,0.0353
1466,0.0369
1469,0.0385
1473,0.0401
1476,0.0417
1478,0.0433
1481,0.0433
1485,0.0432
1488,0.0431
1491,0.0430
1492,0.0430
1492,0.0429
1493,0.0428
1498,0.0428
1501,0.0427
1506,0.0426
1509,0.0426
1511,0.0425
1513,0.0424
1516,0.0423
1519,0.0423
1520,0.0422
1524,0.0421
1524,0.0421
1527,0.0420
1531,0.0419
1535,0.0419
1539,0.0418
1541,0.0417
1542,0.0417
1543,0.0416
1545,0.0415
1547,0.0415
1550,0.0414
1553,0.0413
1555,0.0413
1556,0.0412
1557,0.0411
1558,0.0411
1559,0.0410
1562,0.0409
1562,0.0409
1565,0.0408
1565,0.0408
1565,0.0407
1568,0.0406
1569,0.0406
1574,0.0405
1576,0.0404
1576,0.0404
1578,0.0403
1580,0.0402
1584,0.0402
1585,0.0401
1586,0.0401
1590,0.0400
1590,0.0399
1594,0.0399
1596,0.0398
1599,0.0398
1601,0.0397
1602,0.0396
1607,0.0396
1611,0.0395
1615,0.0395
1618,0.0394
1622,0.0393
1627,0.0393
1631,0.0392
1635,0.0392
1638,0.0391
1640,0.0390
1641,0.0390
1643,0.0389
1647,0.0389
1648,0.0388
1649,0.0387
1650,0.0387
1653,0.0386
1658,0.0386
1663,0.0385
1666,0.0385
1668,0.0384
1668,0.0383
1670,0.0383
1672,0.0382
1676,0.0382
1677,0.0381
1678,0.0381
1679,0.0380
1684,0.0380
1685,0.0379
1688,0.0378
1692,0.0378
1694,0.0377
1695,0.0377
1697,0.0376
1699,0.0376
1699,0.0375
1700,0.0375
1704,0.0374
1708,0.0374
1712,0.0373
1712,0.0372
1714,0.0372
1719,0.0371
1719,0.0371
1719,0.0370
1720,0.0370
1720,0.0369
1724,0.0369
1725,0.0368
1730,0.0368
1734,0.0367
1737,0.0367
1738,0.0366
1739,0.0366
1742,0.0365
1743,0.0365
1747,0.0364
1750,0.0364
1755,0.0363
1760,0.0363
1762,0.0362
1763,0.0362
1766,0.0361
1769,0.0361
1772,0.0360
1775,0.0360
1780,0.0359
1784,0.0359
1788,0.0358
1792,0.0358
1796,0.0357
1798,0.0357
1799,0.0356
1800,0.0356
1801,0.0355
1803,0.0355
1806,0.0354
1806,0.0354
1808,0.0353
1811,0.0353
1814,0.0352
1816,0.0352
1820,0.0351
1822,0.0351
1824,0.0350
1825,0.0350
1827,0.0349
1828,0.0349
1829,0.0349
1833,0.0348
1834,0.0348
1839,0.0347
1844,0.0347
1845,0.0346
1846,0.0346
1847,0.0345
1849,0.0345
1852,0.0344
1852,0.0344
1855,0.0343
1858,0.0343
1861,0.0343
1863,0.0342
1868,0.0342
1871,0.0341
1876,0.0341
1879,0.0340
1880,0.0340
1883,0.0339
1884,0.0339
1886,0.0339
1891,0.0351
1891,0.0364
1891,0.0376
1894,0.0389
1897,0.0401
1901,0.0413
1906,0.0426
1910,0.0438
1914,0.0450
1917,0.0463
1919,0.0475
1923,0.0474
1926,0.0474
1931,0.0473
1933,0.0473
1935,0.0472
1939,0.0471
1941,0.0471
1943,0.0470
1944,0.0470
1948,0.0469
1951,0.0468
1955,0.0468
1958,0.0467
1960,0.0467
1960,0.0466
1964,0.0465
1966,0.0465
1969,0.0464
1972,0.0464
1974,0.0463
1976,0.0462
1979,0.0462
1981,0.0461
1981,0.0461
1982,0.0460
1986,0.0460
1990,0.0459
1994,0.0458
1996,0.0458
1996,0.0457
2000,0.0457
2004,0.0456
2006,0.0456
2008,0.0455
2008,0.0455
2013,0.0454
2015,0.0453
2018,0.0453
2022,0.0452
2026,0.0452
2029,0.0451
2032,0.0451
2033,0.0450
2037,0.0450
2041,0.0449
2041,0.0448
2044,0.0448
2045,0.0447
2047,0.0447
2050,0.0446
2054,0.0446
2058,0.0445
2059,0.0445
2063,0.0444
2067,0.0444
2069,0.0443
2072,0.0443
2075,0.0442
2076,0.0442
2078,0.0441
2082,0.0440
2084,0.0440
2087,0.0439
2088,0.0439
2089,0.0438
2089,0.0438
2090,0.0437
2094,0.0437
2095,0.0436
2098,0.0436
2099,0.0435
2101,0.0435
2103,0.0434
2106,0.0434
2108,0.0433
2111,0.0433
2115,0.0432
2118,0.0432
2123,0.0431
2126,0.0431
2127,0.0430
2127,0.0430
2129,0.0429
2129,0.0429
2130,0.0428
2134,0.0428
2137,0.0427
2138,0.0427
2141,0.0426
2142,0.0426
2143,0.0425
2143,0.0425
2144,0.0424
2147,0.0424
2148,0.0423
2152,0.0423
2154,0.0422
2159,0.0422
2162,0.0421
2162,0.0421
2165,0.0420
2167,0.0420
2172,0.0420
2176,0.0419
2176,0.0419
2180,0.0418
2183,0.0418
2187,0.0417
2189,0.0417
2194,0.0416
2198,0.0416
2201,0.0415
2205,0.0415
2207,0.0414
2210,0.0414
2212,0.0413
2213,0.0413
2214,0.0412
2219,0.0412
2219,0.0412
2221,0.0411
2224,0.0411
2228,0.0410
2232,0.0410
2234,0.0409
2236,0.0409
2241,0.0408
2246,0.0408
2249,0.0407
2252,0.0407
2256,0.0407
2258,0.0406
2261,0.0406
2264,0.0405
2264,0.0405
2264,0.0404
2268,0.0404
2272,0.0403
2274,0.0403
2278,0.0403
2278,0.0402
2282,0.0402
2285,0.0401
2286,0.0401
2290,0.0400
2294,0.0400
2296,0.0400
2301,0.0399
2303,0.0399
2305,0.0398
2309,0.0398
2314,0.0397
2315,0.0397
2315,0.0397
2318,0.0396
2318,0.0396
2321,0.0395
2322,0.0395
2327,0.0394
2330,0.0394
2335,0.0394
2336,0.0393
2338,0.0393
2343,0.0392
2343,0.0392
2347,0.0392
2349,0.0391
2354,0.0391
2355,0.0390
2359,0.0390
2363,0.0389
2367,0.0389
2368,0.0389
2368,0.0388
2371,0.0388
2375,0.0387
2378,0.0387
2379,0.0387
2382,0.0386
2385,0.0386
2389,0.0385
2390,0.0385
2391,0.0385
2392,0.0384
2396,0.0384
2397,0.0383
2399,0.0383
2404,0.0383
2409,0.0382
2410,0.0382
2414,0.0381
2417,0.0381
2419,0.0381
2420,0.0380
2421,0.0380
2422,0.0379
2423,0.0379
2425,0.0379
2429,0.0378
2432,0.0378
2434,0.0378
2434,0.0377
2438,0.0377
2441,0.0376
2445,0.0376
2446,0.0376
2449,0.0375
2452,0.0375
2457,0.0374
2458,0.0374
2461,0.0374
2461,0.0373
2466,0.0373
2467,0.0373
2469,0.0372
2474,0.0372
2477,0.0371
2480,0.0371
2481,0.0371
2483,0.0370
2484,0.0370
2487,0.0370
2491,0.0369
2495,0.0369
2500,0.0369
2501,0.0368
2503,0.0368
2505,0.0367
2509,0.0367
2511,0.0367
2514,0.0366
2518,0.0366
2519,0.0366
2521,0.0365
2525,0.0365
2525,0.0365
2526,0.0364
2527,0.0364
2531,0.0363
2536,0.0363
2536,0.0363
2539,0.0362
2539,0.0362
2540,0.0362
2544,0.0361
2546,0.0361
2550,0.0361
2551,0.0360
2554,0.0360
2557,0.0360
2560,0.0359
2563,0.0359
2566,0.0359
2566,0.0358
2570,0.0358
2575,0.0357
2579,0.0357
2583,0.0357
2587,0.0356
2588,0.0356
2590,0.0356
2591,0.0355
2592,0.0355
2592,0.0355
2592,0.0354
2595,0.0354
2595,0.0354
2599,0.0353
2604,0.0353
2604,0.0353
2609,0.0352
2610,0.0352
2613,0.0352
2615,0.0351
2617,0.0351
2622,0.0351
2626,0.0350
2631,0.0350
2632,0.0350
2633,0.0349
2635,0.0349
2638,0.0349
2641,0.0348
2644,0.0348
2647,0.0348
2651,0.0347
2655,0.0347
2659,0.0347
2659,0.0346
2659,0.0346
2660,0.0346
2665,0.0345
2670,0.0345
2672,0.0345
2672,0.0345
2674,0.0344
2676,0.0344
2680,0.0344
2682,0.0343
2684,0.0343
2687,0.0343
2688,0.0342
2691,0.0342
2692,0.0342
2696,0.0341
2701,0.0341
2702,0.0341
2707,0.0340
2709,0.0340
2712,0.0340
2716,0.0339
2719,0.0339
2724,0.0339
2728,0.0339
2729,0.0338
2731,0.0338
2736,0.0338
2740,0.0337
2741,0.0337
2741,0.0337
2745,0.0336
2749,0.0336
2750,0.0336
2754,0.0335
2754,0.0335
2758,0.0335
2759,0.0335
2759,0.0334
2759,0.0334
2760,0.0334
2762,0.0333
2765,0.0333
2765,0.0333
2769,0.0332
2774,0.0332
2776,0.0332
2780,0.0341
2783,0.0349
2784,0.0358
2788,0.0366
2790,0.0375
2792,0.0384
2793,0.0392
2794,0.0401
2798,0.0409
2800,0.0418
2805,0.0426
2806,0.0435
2807,0.0443
2809,0.0452
2811,0.0460
2815,0.0460
2815,0.0459
2819,0.0459
2821,0.0459
2826,0.0458
2828,0.0458
2832,0.0457
2836,0.0457
2839,0.0457
2839,0.0456
2843,0.0456
2845,0.0455
2846,0.0455
2850,0.0455
2855,0.0454
2858,0.0454
2862,0.0453
2863,0.0453
2868,0.0453
2869,0.0452
2873,0.0452
2874,0.0451
2878,0.0451
2881,0.0451
2884,0.0450
2887,0.0450
2890,0.0449
2891,0.0449
2891,0.0449
2894,0.0448
2898,0.0448
2901,0.0448
2902,0.0447
2903,0.0447
2904,0.0446
2907,0.0446
2908,0.0446
2908,0.0445
2909,0.0445
2913,0.0444
2914,0.0444
2915,0.0444
2915,0.0443
2916,0.0443
2920,0.0443
2921,0.0442
2922,0.0442
2927,0.0441
2928,0.0441
2929,0.0441
2932,0.0440
2932,0.0440
2937,0.0440
2938,0.0439
2939,0.0439
2940,0.0438
2940,0.0438
2944,0.0438
2948,0.0437
2952,0.0437
2955,0.0437
2956,0.0436
2958,0.0436
2960,0.0436
2964,0.0435
2964,0.0435
2967,0.0434
2971,0.0434
2971,0.0434
2974,0.0433
2978,0.0433
2982,0.0433
2983,0.0432
2984,0.0432
2985,0.0432
2989,0.0431
2992,0.0431
2996,0.0430
3001,0.0430
3005,0.0430
3006,0.0429
3006,0.0429
3011,0.0429
3011,0.0428
3011,0.0428
3016,0.0428
3017,0.0427
3017,0.0427
3018,0.0427
3022,0.0426
3027,0.0426
3028,0.0426
3031,0.0425
3031,0.0425
3036,0.0424
3036,0.0424
3037,0.0424
3041,0.0423
3044,0.0423
3046,0.0423
3048,0.0422
3052,0.0422
3055,0.0422
3057,0.0421
3059,0.0421
3060,0.0421
3062,0.0420
3066,0.0420
3069,0.0420
3072,0.0419
3073,0.0419
3075,0.0419
3076,0.0418
3081,0.0418
3083,0.0418
3084,0.0417
3089,0.0417
3094,0.0417
3094,0.0416
3097,0.0416
3100,0.0416
3102,0.0415
3104,0.0415
3104,0.0415
3109,0.0414
3113,0.0414
3116,0.0414
3117,0.0413
3117,0.0413
3121,0.0413
3121,0.0412
3125,0.0412
3127,0.0412
3130,0.0411
3131,0.0411
3132,0.0411
3133,0.0410
3133,0.0410
3135,0.0410
3140,0.0409
3142,0.0409
3144,0.0409
3145,0.0408
3145,0.0408
3146,0.0408
3146,0.0408
3146,0.0407
3150,0.0407
3151,0.0407
3154,0.0406
3158,0.0406
3160,0.0406
3162,0.0405
3165,0.0405
3166,0.0405
3167,0.0404
3169,0.0404
3173,0.0404
3175,0.0403
3176,0.0403
3179,0.0403
3180,0.0402
3181,0.0402
3184,0.0402
3185,0.0402
3187,0.0401
3191,0.0401
3195,0.0401
3199,0.0400
3202,0.0400
3204,0.0400
3209,0.0399
3210,0.0399
3210,0.0399
3211,0.0398
3211,0.0398
3214,0.0398
3215,0.0398
3216,0.0397
3219,0.0397
3219,0.0397
3223,0.0396
3224,0.0396
3225,0.0396
3227,0.0395
3231,0.0395
3232,0.0395
3235,0.0395
3238,0.0394
3238,0.0394
3240,0.0394
3242,0.0393
3245,0.0393
3247,0.0393
3252,0.0392
3255,0.0392
3257,0.0392
3259,0.0392
3263,0.0391
3267,0.0391
3267,0.0391
3272,0.0390
3274,0.0390
3274,0.0390
3277,0.0390
3278,0.0389
3278,0.0389
3280,0.0389
3280,0.0388
3284,0.0388
3288,0.0388
3289,0.0387
3293,0.0387
3295,0.0387
3299,0.0387
3304,0.0386
3308,0.0386
3311,0.0386
3315,0.0385
3316,0.0385
3317,0.0385
3322,0.0385
3324,0.0384
3329,0.0384
3329,0.0384
3329,0.0383
3331,0.0383
3336,0.0383
3340,0.0383
3340,0.0382
3344,0.0382
3345,0.0382
3346,0.0382
3350,0.0381
3352,0.0381
3354,0.0381
3356,0.0380
3358,0.0380
3360,0.0380
3361,0.0380
3363,0.0379
3366,0.0379
3371,0.0379
3371,0.0378
3372,0.0378
3375,0.0378
3379,0.0378
3379,0.0377
3381,0.0377
3384,0.0377
3389,0.0377
3393,0.0376
3395,0.0376
3398,0.0376
3400,0.0375
3403,0.0375
3404,0.0375
3405,0.0375
3405,0.0374
3407,0.0374
3407,0.0374
3410,0.0374
3414,0.0373
3418,0.0373
3421,0.0373
3425,0.0372
3425,0.0372
3426,0.0372
3428,0.0372
3432,0.0371
3436,0.0371
3441,0.0371
3443,0.0371
3446,0.0370
3449,0.0370
3452,0.0370
3454,0.0370
3459,0.0369
3460,0.0369
3464,0.0369
3466,0.0369
3469,0.0368
3470,0.0368
3472,0.0368
3476,0.0367
3480,0.0367
3483,0.0367
3487,0.0367
3488,0.0366
3492,0.0366
3494,0.0366
3498,0.0366
3503,0.0365
3506,0.0365
3507,0.0365
3507,0.0365
3508,0.0364
3509,0.0364
3512,0.0364
