# vtime(s),emu-avail(%) for mode:combinatory target-avail(%)=0.6000
1,0.0000
6,0.5000
9,0.6667
14,0.7500
15,0.8000
19,0.8333
22,0.8571
25,0.8750
27,0.8889
31,0.9000
36,0.9091
40,0.8333
41,0.7692
44,0.7143
48,0.6667
50,0.6875
53,0.7059
57,0.7222
58,0.7368
59,0.7500
61,0.7619
63,0.7727
64,0.7826
67,0.7500
71,0.7200
71,0.6923
73,0.7037
74,0.7143
79,0.7241
80,0.7333
84,0.7419
86,0.7500
89,0.7576
94,0.7647
94,0.7714
99,0.7778
102,0.7838
102,0.7895
104,0.7949
108,0.8000
110,0.8049
111,0.8095
114,0.8140
117,0.8182
121,0.8222
125,0.8261
126,0.8298
129,0.8333
130,0.8367
133,0.8400
134,0.8431
134,0.8462
138,0.8491
140,0.8519
142,0.8545
146,0.8393
149,0.8246
151,0.8103
153,0.7966
157,0.7833
158,0.7705
160,0.7742
163,0.7778
165,0.7812
167,0.7846
169,0.7879
172,0.7910
175,0.7941
176,0.7971
180,0.8000
181,0.8028
184,0.8056
189,0.7945
191,0.7838
195,0.7733
198,0.7632
201,0.7532
203,0.7436
206,0.7468
208,0.7500
209,0.7531
212,0.7561
215,0.7590
219,0.7619
223,0.7647
226,0.7674
226,0.7701
227,0.7727
227,0.7753
227,0.7778
232,0.7802
235,0.7826
236,0.7849
238,0.7872
241,0.7895
242,0.7917
246,0.7938
251,0.7959
254,0.7980
254,0.8000
259,0.8020
259,0.8039
259,0.8058
263,0.8077
266,0.8095
266,0.8113
270,0.8131
274,0.8148
276,0.8165
281,0.8182
282,0.8198
284,0.8214
284,0.8230
284,0.8246
286,0.8261
289,0.8276
292,0.8291
295,0.8305
298,0.8319
300,0.8333
302,0.8347
303,0.8361
306,0.8374
309,0.8387
312,0.8400
313,0.8413
313,0.8425
317,0.8438
322,0.8450
325,0.8462
329,0.8473
332,0.8485
336,0.8496
337,0.8507
337,0.8519
339,0.8529
339,0.8540
343,0.8551
347,0.8561
350,0.8571
351,0.8582
355,0.8592
358,0.8601
362,0.8611
365,0.8621
369,0.8630
371,0.8639
375,0.8649
379,0.8658
383,0.8667
388,0.8675
388,0.8684
392,0.8693
394,0.8701
396,0.8645
400,0.8590
402,0.8535
403,0.8481
407,0.8428
408,0.8375
409,0.8323
413,0.8333
415,0.8344
418,0.8354
