# vtime(s),emu-avail(%) for mode:picav target-avail(%)=0.6000
2,0.0000
3,0.0000
8,0.0000
12,0.2500
16,0.4000
21,0.5000
25,0.5714
30,0.6250
32,0.6667
33,0.7000
34,0.7273
39,0.6667
43,0.6154
48,0.5714
50,0.5333
54,0.5000
55,0.4706
60,0.4444
63,0.4211
65,0.4000
68,0.3810
70,0.4091
71,0.4348
76,0.4583
76,0.4800
77,0.5000
82,0.5185
83,0.5357
86,0.5517
89,0.5667
93,0.5806
95,0.5938
96,0.6061
97,0.6176
98,0.6286
99,0.6389
100,0.6486
104,0.6579
108,0.6667
110,0.6750
111,0.6829
112,0.6905
116,0.6977
116,0.7045
120,0.7111
120,0.7174
121,0.7234
122,0.7292
125,0.7347
126,0.7400
126,0.7451
126,0.7500
130,0.7547
133,0.7593
133,0.7636
138,0.7679
141,0.7544
142,0.7414
146,0.7288
151,0.7167
152,0.7049
156,0.6935
158,0.6825
161,0.6719
164,0.6615
167,0.6515
171,0.6567
172,0.6618
177,0.6667
177,0.6714
182,0.6761
182,0.6806
183,0.6849
185,0.6892
186,0.6933
187,0.6974
189,0.7013
190,0.7051
192,0.7089
192,0.7125
194,0.7160
196,0.7195
197,0.7229
202,0.7143
205,0.7059
208,0.6977
210,0.6897
214,0.6818
215,0.6742
215,0.6667
218,0.6593
222,0.6522
225,0.6559
227,0.6596
232,0.6632
233,0.6667
235,0.6701
236,0.6735
240,0.6768
242,0.6800
242,0.6832
245,0.6863
249,0.6893
252,0.6923
256,0.6952
256,0.6981
257,0.7009
258,0.7037
263,0.7064
268,0.7091
269,0.7117
270,0.7143
271,0.7168
275,0.7193
278,0.7217
278,0.7241
283,0.7265
285,0.7288
287,0.7311
288,0.7333
291,0.7355
295,0.7377
295,0.7398
298,0.7419
300,0.7440
300,0.7460
304,0.7402
305,0.7344
306,0.7287
308,0.7231
312,0.7176
313,0.7121
316,0.7068
316,0.7015
320,0.6963
324,0.6912
327,0.6934
328,0.6957
328,0.6978
330,0.7000
335,0.7021
336,0.7042
339,0.7063
339,0.7083
344,0.7103
349,0.7123
350,0.7143
355,0.7162
355,0.7181
359,0.7200
360,0.7219
362,0.7237
365,0.7255
369,0.7273
371,0.7290
373,0.7308
375,0.7325
375,0.7342
377,0.7358
380,0.7375
384,0.7391
385,0.7407
387,0.7423
388,0.7439
389,0.7455
394,0.7410
398,0.7365
399,0.7321
402,0.7278
402,0.7235
403,0.7193
404,0.7151
406,0.7110
409,0.7069
409,0.7029
410,0.6989
411,0.6949
411,0.6910
415,0.6872
417,0.6833
418,0.6796
419,0.6758
421,0.6721
423,0.6685
427,0.6649
429,0.6613
430,0.6578
435,0.6543
438,0.6561
439,0.6579
440,0.6597
440,0.6615
444,0.6632
448,0.6649
448,0.6667
449,0.6684
453,0.6701
456,0.6717
456,0.6734
458,0.6750
460,0.6766
460,0.6782
461,0.6798
464,0.6814
468,0.6829
470,0.6845
475,0.6860
477,0.6875
480,0.6890
481,0.6905
484,0.6919
487,0.6934
491,0.6948
492,0.6963
492,0.6977
493,0.6991
495,0.7005
496,0.7018
501,0.7032
504,0.7045
506,0.7059
506,0.7072
507,0.7085
512,0.7098
516,0.7111
516,0.7124
517,0.7137
517,0.7149
520,0.7162
521,0.7174
525,0.7186
525,0.7198
528,0.7210
533,0.7222
535,0.7234
536,0.7246
541,0.7257
545,0.7269
548,0.7280
548,0.7292
550,0.7303
553,0.7314
556,0.7325
556,0.7336
559,0.7347
563,0.7358
565,0.7368
566,0.7379
566,0.7390
567,0.7400
568,0.7410
571,0.7421
575,0.7431
576,0.7441
577,0.7451
581,0.7461
585,0.7471
588,0.7481
591,0.7490
593,0.7500
594,0.7510
598,0.7519
600,0.7529
602,0.7538
605,0.7547
609,0.7519
613,0.7491
618,0.7463
620,0.7435
624,0.7407
626,0.7380
630,0.7353
635,0.7326
640,0.7299
641,0.7273
643,0.7246
647,0.7220
651,0.7194
655,0.7168
656,0.7143
660,0.7117
660,0.7092
664,0.7067
667,0.7042
668,0.7018
668,0.6993
672,0.6969
673,0.6944
676,0.6920
681,0.6931
683,0.6942
684,0.6952
685,0.6962
687,0.6973
689,0.6983
689,0.6993
691,0.7003
694,0.7013
696,0.7023
700,0.7033
704,0.7043
707,0.7053
712,0.7063
714,0.7072
715,0.7082
718,0.7092
723,0.7101
728,0.7110
731,0.7120
734,0.7129
738,0.7138
739,0.7147
743,0.7157
745,0.7166
746,0.7175
747,0.7184
749,0.7192
753,0.7201
758,0.7210
760,0.7219
760,0.7227
761,0.7236
762,0.7245
766,0.7253
767,0.7262
768,0.7270
768,0.7278
773,0.7287
775,0.7295
779,0.7273
783,0.7251
783,0.7229
786,0.7207
790,0.7186
792,0.7164
794,0.7143
799,0.7122
803,0.7101
805,0.7080
807,0.7059
810,0.7038
812,0.7018
816,0.6997
820,0.6977
824,0.6957
828,0.6936
829,0.6916
830,0.6897
834,0.6877
838,0.6857
842,0.6838
844,0.6818
849,0.6799
849,0.6780
851,0.6761
852,0.6742
854,0.6723
854,0.6704
856,0.6685
861,0.6694
865,0.6704
868,0.6713
872,0.6722
874,0.6731
879,0.6740
882,0.6749
884,0.6757
887,0.6766
892,0.6775
895,0.6757
898,0.6739
902,0.6720
906,0.6729
907,0.6738
909,0.6747
911,0.6755
916,0.6764
916,0.6772
921,0.6781
926,0.6789
930,0.6798
932,0.6806
936,0.6815
939,0.6823
943,0.6831
943,0.6839
944,0.6848
946,0.6856
949,0.6864
953,0.6872
955,0.6880
959,0.6888
961,0.6896
963,0.6904
967,0.6911
970,0.6919
972,0.6927
975,0.6935
976,0.6942
978,0.6950
981,0.6958
983,0.6965
986,0.6973
990,0.6980
991,0.6988
992,0.6995
994,0.7002
998,0.7010
999,0.7017
1001,0.7024
1001,0.7032
1005,0.7039
1010,0.7046
1010,0.7053
1010,0.7060
1011,0.7067
1013,0.7074
1016,0.7081
1019,0.7088
1023,0.7095
1027,0.7102
1028,0.7109
1029,0.7116
1030,0.7123
1033,0.7129
1036,0.7136
1040,0.7143
1045,0.7150
1047,0.7156
1050,0.7163
1050,0.7169
1054,0.7176
1059,0.7182
1063,0.7189
1066,0.7195
1070,0.7202
1073,0.7208
1075,0.7215
1079,0.7221
1082,0.7227
1083,0.7234
1086,0.7240
1089,0.7246
1093,0.7252
1093,0.7258
1097,0.7265
1098,0.7271
1101,0.7277
1102,0.7283
1105,0.7289
1107,0.7295
1107,0.7301
1107,0.7307
1108,0.7313
1109,0.7319
1110,0.7325
1111,0.7330
1112,0.7336
1116,0.7342
1117,0.7348
1120,0.7354
1121,0.7359
1123,0.7365
1126,0.7371
1128,0.7376
1129,0.7382
1131,0.7388
1132,0.7393
1133,0.7399
1137,0.7383
1139,0.7367
1139,0.7352
1143,0.7336
1145,0.7321
1147,0.7305
1151,0.7290
1155,0.7275
1159,0.7259
1160,0.7244
1164,0.7229
1166,0.7214
1168,0.7199
1172,0.7184
1176,0.7169
1177,0.7155
1180,0.7140
1182,0.7125
1186,0.7111
1189,0.7096
1189,0.7082
1192,0.7067
1195,0.7053
1199,0.7039
1200,0.7024
1205,0.7010
1208,0.6996
1213,0.6982
1214,0.6968
1216,0.6954
1219,0.6940
1219,0.6926
1221,0.6912
1224,0.6899
1225,0.6885
1226,0.6871
1228,0.6858
1231,0.6844
1232,0.6831
1236,0.6817
1241,0.6804
1245,0.6791
1248,0.6797
1252,0.6803
1256,0.6809
1259,0.6816
1262,0.6822
1265,0.6828
1270,0.6834
1273,0.6840
1276,0.6846
1277,0.6852
1282,0.6858
1282,0.6864
1286,0.6870
1286,0.6876
1291,0.6882
1292,0.6888
1296,0.6894
1300,0.6900
1304,0.6906
1308,0.6911
1308,0.6917
1313,0.6923
1318,0.6929
1319,0.6935
1320,0.6940
1324,0.6946
1327,0.6952
1329,0.6957
1334,0.6963
1334,0.6969
1338,0.6974
1341,0.6980
1342,0.6985
1347,0.6991
1351,0.6996
1356,0.7002
1358,0.7007
1363,0.7013
1367,0.7018
1370,0.7024
1373,0.7029
1374,0.7034
1377,0.7040
1381,0.7045
1383,0.7050
1384,0.7056
1388,0.7061
1390,0.7066
1393,0.7071
1398,0.7077
1402,0.7082
1405,0.7087
1407,0.7092
1410,0.7097
1413,0.7102
1414,0.7108
1418,0.7113
1419,0.7118
1420,0.7123
1422,0.7128
1423,0.7133
1423,0.7138
1427,0.7143
1431,0.7148
1435,0.7153
1438,0.7158
1441,0.7163
1443,0.7168
1444,0.7172
1447,0.7177
1451,0.7182
1453,0.7187
1456,0.7192
1456,0.7197
1460,0.7201
1463,0.7206
1464,0.7211
1469,0.7216
1469,0.7220
1469,0.7225
1470,0.7230
1472,0.7234
1477,0.7239
1481,0.7244
1483,0.7248
1487,0.7253
1490,0.7258
1494,0.7262
1494,0.7267
1495,0.7271
1500,0.7276
1504,0.7280
1507,0.7285
1511,0.7289
1514,0.7294
1515,0.7282
1517,0.7270
1518,0.7258
1523,0.7246
1527,0.7234
1530,0.7222
1531,0.7210
1533,0.7199
1535,0.7187
1535,0.7175
1536,0.7164
1540,0.7152
