# vtime(s),emu-avail(%) for mode:random target-avail(%)=0.6000
2,0.0000
3,0.0000
7,0.0000
12,0.0000
15,0.0000
19,0.0000
20,0.0000
21,0.0000
23,0.0000
25,0.0000
28,0.0000
30,0.0000
34,0.0000
35,0.0000
36,0.0000
38,0.0000
39,0.0000
44,0.0000
44,0.0000
49,0.0000
52,0.0000
55,0.0000
59,0.0000
64,0.0000
64,0.0000
65,0.0000
66,0.0000
70,0.0000
70,0.0000
75,0.0000
77,0.0000
79,0.0000
84,0.0000
86,0.0000
89,0.0000
93,0.0000
94,0.0000
99,0.0000
102,0.0000
104,0.0000
106,0.0000
110,0.0000
112,0.0000
116,0.0000
119,0.0000
122,0.0000
122,0.0000
126,0.0000
128,0.0000
132,0.0000
132,0.0000
136,0.0000
137,0.0000
139,0.0000
142,0.0000
146,0.0000
146,0.0000
148,0.0000
149,0.0000
152,0.0000
155,0.0000
156,0.0000
160,0.0000
162,0.0000
165,0.0000
167,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0000
174,0.0000
176,0.0000
180,0.0000
183,0.0000
185,0.0000
189,0.0000
194,0.0000
194,0.0000
199,0.0000
201,0.0000
205,0.0000
209,0.0000
211,0.0000
212,0.0000
215,0.0000
216,0.0000
219,0.0000
221,0.0000
225,0.0000
229,0.0000
233,0.0000
236,0.0000
238,0.0000
242,0.0000
246,0.0000
248,0.0000
250,0.0000
251,0.0000
253,0.0000
255,0.0000
255,0.0000
256,0.0000
258,0.0000
262,0.0000
263,0.0000
265,0.0000
265,0.0000
269,0.0000
273,0.0000
275,0.0000
280,0.0000
280,0.0000
284,0.0000
288,0.0000
290,0.0000
294,0.0000
296,0.0000
301,0.0000
303,0.0000
304,0.0000
307,0.0000
308,0.0000
312,0.0000
314,0.0000
315,0.0000
315,0.0000
316,0.0000
319,0.0000
324,0.0000
325,0.0000
326,0.0000
331,0.0000
333,0.0000
335,0.0000
339,0.0000
343,0.0000
343,0.0000
345,0.0000
348,0.0000
353,0.0000
355,0.0000
357,0.0000
358,0.0000
362,0.0000
362,0.0000
363,0.0000
368,0.0000
368,0.0000
371,0.0000
373,0.0000
376,0.0000
379,0.0000
382,0.0000
383,0.0000
386,0.0000
389,0.0000
389,0.0000
394,0.0000
397,0.0000
400,0.0000
403,0.0000
406,0.0000
406,0.0000
407,0.0000
409,0.0000
409,0.0000
411,0.0000
415,0.0000
418,0.0000
423,0.0000
425,0.0000
429,0.0000
431,0.0000
435,0.0000
439,0.0000
443,0.0000
447,0.0000
449,0.0000
451,0.0000
453,0.0000
457,0.0000
462,0.0000
465,0.0000
465,0.0000
466,0.0000
467,0.0000
467,0.0000
470,0.0000
471,0.0000
475,0.0000
476,0.0000
477,0.0000
478,0.0000
479,0.0000
483,0.0000
483,0.0000
487,0.0000
488,0.0000
489,0.0000
490,0.0000
493,0.0000
494,0.0000
498,0.0000
500,0.0000
504,0.0000
507,0.0000
509,0.0000
512,0.0000
514,0.0000
516,0.0000
518,0.0000
520,0.0000
521,0.0000
523,0.0000
526,0.0000
527,0.0000
527,0.0000
530,0.0000
533,0.0000
535,0.0000
536,0.0000
538,0.0000
542,0.0000
544,0.0000
544,0.0000
548,0.0000
549,0.0000
550,0.0000
551,0.0000
553,0.0000
558,0.0000
563,0.0000
564,0.0000
568,0.0000
571,0.0000
576,0.0000
581,0.0000
585,0.0000
588,0.0000
591,0.0000
595,0.0000
598,0.0000
599,0.0000
602,0.0000
603,0.0000
606,0.0000
610,0.0000
611,0.0000
615,0.0000
616,0.0000
617,0.0000
617,0.0000
620,0.0000
624,0.0000
625,0.0000
626,0.0000
627,0.0000
629,0.0000
630,0.0000
635,0.0000
640,0.0000
641,0.0000
646,0.0000
648,0.0000
650,0.0000
652,0.0000
654,0.0000
655,0.0000
659,0.0000
661,0.0000
663,0.0000
666,0.0000
670,0.0000
673,0.0000
674,0.0000
679,0.0000
680,0.0000
680,0.0000
685,0.0000
689,0.0000
691,0.0000
695,0.0000
697,0.0000
702,0.0000
706,0.0000
706,0.0000
710,0.0000
710,0.0000
711,0.0000
713,0.0000
717,0.0000
721,0.0000
722,0.0000
725,0.0000
726,0.0000
727,0.0000
730,0.0000
735,0.0000
737,0.0000
742,0.0000
746,0.0000
751,0.0000
754,0.0000
759,0.0000
763,0.0000
766,0.0000
767,0.0000
767,0.0000
771,0.0000
774,0.0000
774,0.0000
775,0.0000
777,0.0000
781,0.0000
784,0.0000
788,0.0000
791,0.0000
795,0.0000
800,0.0000
802,0.0000
805,0.0000
808,0.0000
812,0.0000
816,0.0000
818,0.0000
822,0.0000
822,0.0000
825,0.0000
830,0.0000
835,0.0000
837,0.0000
838,0.0000
843,0.0000
845,0.0000
849,0.0000
851,0.0000
855,0.0000
859,0.0000
863,0.0000
865,0.0000
867,0.0000
871,0.0000
876,0.0000
876,0.0000
879,0.0000
882,0.0000
886,0.0000
887,0.0000
888,0.0000
890,0.0000
891,0.0000
893,0.0000
894,0.0000
896,0.0000
901,0.0000
904,0.0000
904,0.0000
906,0.0028
911,0.0056
913,0.0083
916,0.0111
917,0.0138
919,0.0165
920,0.0192
924,0.0219
928,0.0246
929,0.0272
932,0.0299
937,0.0325
939,0.0351
940,0.0377
944,0.0403
948,0.0429
952,0.0455
955,0.0453
957,0.0452
960,0.0451
965,0.0450
968,0.0449
970,0.0447
973,0.0446
974,0.0445
975,0.0444
977,0.0443
979,0.0442
981,0.0440
985,0.0439
987,0.0438
989,0.0437
993,0.0436
993,0.0435
995,0.0434
999,0.0433
999,0.0431
1000,0.0430
1001,0.0429
1003,0.0428
1008,0.0427
1010,0.0426
1015,0.0425
1015,0.0424
1016,0.0423
1019,0.0422
1024,0.0421
1027,0.0420
1032,0.0419
1036,0.0418
1038,0.0417
1041,0.0416
1043,0.0415
1046,0.0414
1047,0.0413
1050,0.0412
1051,0.0411
1052,0.0410
1056,0.0409
1058,0.0408
1062,0.0407
1065,0.0406
1065,0.0405
1066,0.0404
1069,0.0403
1071,0.0402
1075,0.0401
1075,0.0400
1077,0.0399
1078,0.0398
1080,0.0397
1084,0.0396
1085,0.0395
1089,0.0394
1089,0.0394
1090,0.0393
1095,0.0392
1099,0.0391
1100,0.0390
1102,0.0389
1105,0.0388
1108,0.0387
1109,0.0386
1109,0.0385
1113,0.0385
1114,0.0384
1114,0.0383
1114,0.0382
1115,0.0381
1119,0.0380
1123,0.0379
1124,0.0379
1124,0.0378
1128,0.0377
1129,0.0376
1133,0.0375
1138,0.0374
1139,0.0374
1143,0.0373
1147,0.0372
1151,0.0371
1152,0.0370
1154,0.0370
1158,0.0369
1163,0.0368
1167,0.0367
1170,0.0366
1173,0.0366
1174,0.0365
1178,0.0364
1181,0.0363
1186,0.0362
1188,0.0362
1190,0.0361
1195,0.0360
1196,0.0359
1200,0.0359
1203,0.0358
1207,0.0357
1212,0.0356
1214,0.0356
1218,0.0355
1219,0.0354
1222,0.0353
1223,0.0353
1227,0.0352
1228,0.0351
1230,0.0351
1232,0.0350
1234,0.0349
1235,0.0348
1236,0.0348
1239,0.0347
1240,0.0346
1242,0.0346
1246,0.0345
1247,0.0344
1248,0.0343
1250,0.0343
1253,0.0342
1254,0.0341
1256,0.0341
1256,0.0340
1261,0.0339
1262,0.0339
1264,0.0338
1268,0.0337
1270,0.0337
1271,0.0336
1271,0.0335
1272,0.0335
1273,0.0334
1277,0.0333
1282,0.0333
1286,0.0332
1288,0.0331
1291,0.0350
1292,0.0369
1293,0.0388
1297,0.0406
1302,0.0425
1303,0.0443
1307,0.0462
1312,0.0480
1316,0.0498
1318,0.0516
1320,0.0534
1324,0.0533
1326,0.0532
1326,0.0531
1327,0.0530
1330,0.0529
1332,0.0528
1337,0.0527
1340,0.0526
1343,0.0525
1347,0.0524
1350,0.0523
1351,0.0522
1352,0.0521
1352,0.0520
1356,0.0519
1357,0.0519
1357,0.0518
1358,0.0517
1363,0.0516
1365,0.0515
1368,0.0514
1369,0.0513
1373,0.0512
1376,0.0511
1379,0.0510
1381,0.0509
1384,0.0508
1384,0.0507
1385,0.0506
1387,0.0505
1390,0.0505
1392,0.0504
1395,0.0503
1396,0.0502
1400,0.0501
1404,0.0500
1405,0.0499
1405,0.0498
1406,0.0497
1407,0.0496
1408,0.0496
1411,0.0495
1412,0.0494
1416,0.0493
1421,0.0492
1424,0.0491
1429,0.0490
1433,0.0490
1436,0.0489
1440,0.0488
1440,0.0487
1443,0.0486
1445,0.0485
1447,0.0484
1449,0.0484
1449,0.0483
1454,0.0482
1459,0.0481
1464,0.0480
1467,0.0479
1469,0.0479
1473,0.0478
1473,0.0477
1478,0.0476
1480,0.0475
1483,0.0475
1486,0.0474
1489,0.0473
1494,0.0472
1496,0.0471
1497,0.0471
1497,0.0470
1501,0.0469
1506,0.0468
1508,0.0467
1510,0.0467
1513,0.0466
1514,0.0465
1518,0.0464
1523,0.0464
1527,0.0463
1528,0.0462
1532,0.0461
1533,0.0461
1536,0.0460
1538,0.0459
1542,0.0458
1544,0.0458
1546,0.0457
1548,0.0456
1549,0.0455
1553,0.0455
