# vtime(s),emu-avail(%) for mode:combinatory target-avail(%)=0.6000
5,1.0000
5,1.0000
9,1.0000
11,1.0000
13,1.0000
18,1.0000
18,1.0000
22,1.0000
26,1.0000
29,1.0000
31,1.0000
36,1.0000
39,1.0000
44,1.0000
48,1.0000
51,1.0000
54,1.0000
54,1.0000
57,1.0000
58,1.0000
62,1.0000
65,1.0000
70,1.0000
71,1.0000
71,1.0000
73,1.0000
73,1.0000
77,1.0000
78,1.0000
81,1.0000
84,1.0000
89,0.9688
92,0.9394
95,0.9118
97,0.8857
99,0.8611
102,0.8378
106,0.8158
107,0.7949
108,0.7750
109,0.7561
111,0.7381
111,0.7209
115,0.7045
115,0.6889
116,0.6739
120,0.6596
121,0.6458
122,0.6327
124,0.6200
126,0.6078
130,0.5962
132,0.5849
133,0.5741
137,0.5636
139,0.5536
142,0.5439
145,0.5345
146,0.5254
150,0.5167
154,0.5082
158,0.5000
159,0.4921
163,0.4844
168,0.4769
170,0.4697
170,0.4627
170,0.4559
173,0.4493
177,0.4429
182,0.4366
183,0.4306
186,0.4247
188,0.4189
190,0.4133
194,0.4079
196,0.4026
197,0.3974
201,0.3924
201,0.3875
206,0.3827
210,0.3780
211,0.3735
215,0.3690
217,0.3647
221,0.3605
222,0.3563
225,0.3523
227,0.3483
231,0.3444
235,0.3407
236,0.3370
236,0.3333
240,0.3298
245,0.3263
247,0.3229
251,0.3196
251,0.3163
254,0.3131
254,0.3100
255,0.3069
258,0.3039
261,0.3010
263,0.2981
267,0.2952
270,0.2925
270,0.2897
272,0.2870
273,0.2844
277,0.2818
281,0.2793
281,0.2768
284,0.2743
286,0.2719
287,0.2696
289,0.2672
292,0.2650
293,0.2627
297,0.2605
300,0.2583
305,0.2562
308,0.2541
309,0.2520
312,0.2500
313,0.2480
314,0.2460
316,0.2441
318,0.2422
322,0.2403
323,0.2385
325,0.2366
325,0.2348
326,0.2331
327,0.2313
327,0.2296
330,0.2279
335,0.2336
336,0.2391
340,0.2446
343,0.2500
346,0.2553
349,0.2606
354,0.2657
359,0.2708
361,0.2759
364,0.2808
367,0.2857
370,0.2905
373,0.2953
376,0.3000
376,0.3046
381,0.3092
381,0.3137
385,0.3182
388,0.3226
393,0.3269
395,0.3312
398,0.3354
402,0.3396
406,0.3438
406,0.3478
407,0.3519
409,0.3558
409,0.3598
412,0.3636
414,0.3675
416,0.3713
417,0.3750
420,0.3787
424,0.3824
425,0.3860
426,0.3895
427,0.3931
428,0.3966
432,0.4000
433,0.4034
434,0.4068
435,0.4101
438,0.4134
442,0.4167
446,0.4199
450,0.4231
451,0.4262
452,0.4293
454,0.4324
455,0.4355
458,0.4385
461,0.4415
463,0.4444
466,0.4474
469,0.4503
471,0.4531
471,0.4560
474,0.4588
477,0.4615
480,0.4643
484,0.4670
484,0.4697
484,0.4724
485,0.4750
490,0.4776
493,0.4802
498,0.4828
500,0.4853
502,0.4878
502,0.4903
506,0.4928
510,0.4952
513,0.4976
515,0.5000
519,0.5024
522,0.5047
524,0.5070
525,0.5093
526,0.5116
528,0.5139
533,0.5161
535,0.5183
537,0.5205
541,0.5227
545,0.5249
547,0.5270
550,0.5291
552,0.5312
553,0.5333
554,0.5354
556,0.5374
557,0.5395
557,0.5415
560,0.5435
560,0.5455
563,0.5474
568,0.5494
569,0.5513
571,0.5532
575,0.5551
575,0.5570
579,0.5588
582,0.5607
586,0.5625
588,0.5643
590,0.5661
594,0.5679
595,0.5697
599,0.5714
599,0.5732
602,0.5749
607,0.5766
610,0.5783
611,0.5800
612,0.5817
612,0.5833
616,0.5850
620,0.5866
621,0.5882
622,0.5898
626,0.5914
629,0.5930
632,0.5946
634,0.5962
635,0.5977
637,0.5992
641,0.6008
644,0.6023
646,0.6038
650,0.6053
654,0.6067
657,0.6082
662,0.6097
666,0.6111
670,0.6125
675,0.6140
677,0.6154
682,0.6168
683,0.6182
686,0.6196
690,0.6209
693,0.6223
696,0.6237
696,0.6250
700,0.6263
701,0.6277
703,0.6290
706,0.6303
710,0.6316
712,0.6329
715,0.6341
719,0.6354
722,0.6367
725,0.6379
729,0.6392
729,0.6404
734,0.6416
736,0.6429
740,0.6441
742,0.6453
742,0.6465
743,0.6477
747,0.6488
748,0.6500
750,0.6512
751,0.6523
752,0.6535
756,0.6546
756,0.6557
757,0.6569
760,0.6580
763,0.6591
766,0.6602
770,0.6613
771,0.6624
773,0.6635
777,0.6645
781,0.6656
784,0.6667
785,0.6677
785,0.6688
787,0.6698
790,0.6708
790,0.6719
794,0.6729
798,0.6739
801,0.6749
806,0.6759
807,0.6769
808,0.6779
811,0.6789
813,0.6799
815,0.6809
816,0.6818
820,0.6828
823,0.6837
824,0.6847
824,0.6856
827,0.6866
827,0.6875
831,0.6884
834,0.6893
836,0.6903
839,0.6912
842,0.6921
844,0.6930
847,0.6939
848,0.6948
851,0.6957
855,0.6965
859,0.6974
862,0.6983
863,0.6991
867,0.7000
869,0.7009
873,0.7017
874,0.7025
878,0.7034
879,0.7042
883,0.7051
886,0.7059
887,0.7067
887,0.7075
891,0.7083
893,0.7091
894,0.7099
896,0.7107
899,0.7115
902,0.7123
905,0.7131
906,0.7139
908,0.7147
910,0.7154
912,0.7162
915,0.7170
919,0.7177
922,0.7185
922,0.7193
927,0.7200
928,0.7207
930,0.7215
933,0.7222
934,0.7230
936,0.7237
941,0.7244
945,0.7251
947,0.7258
949,0.7266
949,0.7273
950,0.7280
952,0.7287
954,0.7294
957,0.7301
960,0.7308
960,0.7315
961,0.7321
965,0.7328
969,0.7335
970,0.7342
971,0.7348
974,0.7355
978,0.7362
981,0.7368
981,0.7375
982,0.7382
986,0.7388
987,0.7395
990,0.7401
993,0.7407
995,0.7414
1000,0.7420
1004,0.7426
1007,0.7433
1007,0.7439
1010,0.7445
1011,0.7451
