# vtime(s),emu-avail(%) for mode:picav target-avail(%)=0.6000
3,1.0000
5,1.0000
7,1.0000
9,1.0000
9,1.0000
12,1.0000
16,1.0000
19,1.0000
23,1.0000
27,1.0000
30,1.0000
33,1.0000
38,1.0000
41,1.0000
44,1.0000
48,1.0000
48,1.0000
52,1.0000
56,1.0000
56,1.0000
60,1.0000
64,1.0000
66,1.0000
70,1.0000
72,1.0000
73,1.0000
74,1.0000
79,1.0000
80,1.0000
80,1.0000
85,1.0000
87,1.0000
90,1.0000
90,1.0000
92,0.9714
97,0.9444
98,0.9189
99,0.8947
100,0.8718
103,0.8500
108,0.8293
108,0.8095
111,0.7907
113,0.7727
114,0.7556
117,0.7391
119,0.7234
122,0.7083
124,0.6939
124,0.6800
124,0.6667
129,0.6731
132,0.6792
135,0.6852
136,0.6909
137,0.6964
140,0.7018
144,0.7069
146,0.7119
147,0.7167
147,0.7213
150,0.7258
151,0.7302
154,0.7344
157,0.7385
158,0.7424
163,0.7463
168,0.7500
172,0.7536
173,0.7571
175,0.7606
178,0.7639
180,0.7671
181,0.7703
182,0.7733
183,0.7763
185,0.7792
189,0.7821
192,0.7848
192,0.7875
194,0.7901
197,0.7927
198,0.7952
199,0.7976
204,0.8000
209,0.8023
213,0.7931
218,0.7841
222,0.7753
225,0.7667
228,0.7582
229,0.7500
229,0.7419
231,0.7340
236,0.7368
238,0.7396
243,0.7423
243,0.7449
247,0.7475
252,0.7500
252,0.7525
256,0.7549
257,0.7476
259,0.7404
263,0.7333
265,0.7264
269,0.7196
269,0.7130
274,0.7064
278,0.7000
280,0.6937
284,0.6964
288,0.6991
288,0.7018
292,0.7043
293,0.7069
293,0.7094
298,0.7119
301,0.7143
304,0.7167
306,0.7190
307,0.7213
309,0.7236
314,0.7258
317,0.7280
320,0.7302
321,0.7323
326,0.7344
327,0.7364
328,0.7385
329,0.7405
330,0.7424
332,0.7444
333,0.7463
333,0.7481
338,0.7500
341,0.7518
345,0.7536
347,0.7554
351,0.7571
354,0.7589
357,0.7606
361,0.7622
364,0.7569
368,0.7517
372,0.7466
374,0.7415
378,0.7365
380,0.7315
384,0.7267
386,0.7219
389,0.7171
393,0.7124
396,0.7078
397,0.7032
401,0.6987
403,0.6943
405,0.6899
408,0.6855
411,0.6813
411,0.6770
412,0.6728
412,0.6687
415,0.6646
418,0.6606
423,0.6566
426,0.6527
429,0.6488
432,0.6450
432,0.6412
435,0.6374
437,0.6337
441,0.6301
444,0.6264
445,0.6229
450,0.6193
454,0.6158
458,0.6124
462,0.6089
464,0.6056
464,0.6022
464,0.5989
468,0.5956
471,0.5924
471,0.5892
473,0.5860
475,0.5829
478,0.5851
480,0.5873
483,0.5895
487,0.5916
489,0.5938
491,0.5959
493,0.5979
497,0.6000
500,0.6020
504,0.6041
505,0.6061
509,0.6080
512,0.6100
516,0.6119
520,0.6139
525,0.6158
529,0.6176
532,0.6195
535,0.6214
539,0.6232
543,0.6250
547,0.6268
552,0.6286
554,0.6303
558,0.6321
560,0.6338
562,0.6355
565,0.6372
567,0.6389
568,0.6406
568,0.6422
572,0.6438
575,0.6455
577,0.6471
582,0.6486
585,0.6502
588,0.6518
590,0.6533
590,0.6549
593,0.6564
593,0.6579
594,0.6594
595,0.6609
595,0.6623
598,0.6638
600,0.6652
603,0.6667
608,0.6681
609,0.6695
613,0.6667
616,0.6639
619,0.6611
623,0.6583
625,0.6556
626,0.6529
626,0.6502
630,0.6475
633,0.6449
638,0.6423
641,0.6397
645,0.6371
647,0.6345
648,0.6320
648,0.6295
651,0.6270
653,0.6245
656,0.6220
656,0.6196
661,0.6172
665,0.6148
668,0.6124
669,0.6100
670,0.6077
672,0.6054
673,0.6031
676,0.6008
677,0.5985
680,0.5962
684,0.5940
688,0.5918
691,0.5896
693,0.5874
698,0.5852
700,0.5830
702,0.5809
705,0.5788
709,0.5766
713,0.5745
717,0.5725
721,0.5704
725,0.5683
729,0.5663
730,0.5643
732,0.5623
736,0.5603
737,0.5583
740,0.5563
743,0.5544
744,0.5524
748,0.5505
750,0.5486
751,0.5467
752,0.5448
753,0.5430
757,0.5411
757,0.5392
760,0.5374
764,0.5356
768,0.5372
772,0.5387
772,0.5403
773,0.5418
777,0.5433
781,0.5449
785,0.5464
785,0.5479
786,0.5493
788,0.5508
791,0.5523
793,0.5537
797,0.5552
800,0.5566
801,0.5581
801,0.5595
805,0.5609
807,0.5623
808,0.5637
813,0.5651
815,0.5665
817,0.5678
821,0.5692
824,0.5705
827,0.5719
830,0.5732
833,0.5745
834,0.5759
835,0.5772
836,0.5785
836,0.5798
838,0.5810
843,0.5823
847,0.5836
849,0.5848
851,0.5861
854,0.5873
859,0.5886
862,0.5898
865,0.5910
869,0.5923
872,0.5935
874,0.5947
877,0.5959
878,0.5971
879,0.5982
879,0.5994
880,0.6006
882,0.6017
882,0.6029
884,0.6040
888,0.6052
891,0.6063
891,0.6074
893,0.6086
896,0.6097
898,0.6108
902,0.6119
906,0.6130
910,0.6141
914,0.6152
917,0.6162
920,0.6173
925,0.6184
925,0.6194
929,0.6205
934,0.6215
937,0.6226
938,0.6236
938,0.6247
943,0.6257
945,0.6267
950,0.6277
954,0.6287
955,0.6297
957,0.6307
957,0.6317
958,0.6327
959,0.6337
963,0.6347
967,0.6356
970,0.6366
971,0.6376
974,0.6385
975,0.6395
979,0.6404
983,0.6414
985,0.6423
987,0.6432
992,0.6442
993,0.6451
993,0.6460
998,0.6469
1002,0.6478
1004,0.6487
