# vtime(s),emu-avail(%) for mode:random target-avail(%)=0.6000
4,0.0000
8,0.0000
10,0.0000
14,0.0000
18,0.0000
23,0.0000
24,0.0000
29,0.0000
31,0.0000
35,0.0000
39,0.0000
40,0.0000
44,0.0000
48,0.0000
52,0.0000
56,0.0000
60,0.0000
62,0.0000
64,0.0000
68,0.0000
72,0.0000
76,0.0000
79,0.0000
81,0.0000
86,0.0000
91,0.0000
94,0.0000
95,0.0000
96,0.0000
101,0.0000
106,0.0000
108,0.0000
109,0.0000
112,0.0000
115,0.0000
116,0.0000
117,0.0000
122,0.0000
123,0.0000
127,0.0000
129,0.0000
133,0.0000
134,0.0000
138,0.0000
142,0.0000
147,0.0000
147,0.0000
147,0.0000
152,0.0000
154,0.0000
155,0.0000
157,0.0000
159,0.0000
160,0.0000
164,0.0000
166,0.0000
170,0.0000
175,0.0000
177,0.0000
178,0.0000
180,0.0000
181,0.0000
186,0.0000
189,0.0000
190,0.0000
194,0.0000
195,0.0000
199,0.0000
199,0.0000
202,0.0000
203,0.0000
206,0.0000
209,0.0000
212,0.0000
213,0.0000
216,0.0000
221,0.0000
222,0.0000
226,0.0000
229,0.0000
231,0.0000
236,0.0000
240,0.0000
241,0.0000
242,0.0000
244,0.0000
248,0.0000
250,0.0114
253,0.0225
253,0.0333
257,0.0440
258,0.0543
259,0.0645
263,0.0745
266,0.0842
269,0.0938
273,0.1031
274,0.1122
275,0.1212
276,0.1300
276,0.1386
277,0.1471
280,0.1553
284,0.1635
285,0.1714
289,0.1792
293,0.1869
297,0.1944
298,0.2018
302,0.2091
306,0.2072
310,0.2054
314,0.2035
316,0.2018
319,0.2000
320,0.1983
323,0.1966
324,0.1949
328,0.1933
330,0.1917
331,0.1901
332,0.1885
335,0.1870
337,0.1855
339,0.1840
342,0.1825
342,0.1811
344,0.1797
349,0.1783
352,0.1769
354,0.1756
357,0.1742
359,0.1729
359,0.1716
361,0.1704
362,0.1691
365,0.1679
370,0.1667
374,0.1655
374,0.1643
378,0.1631
381,0.1620
384,0.1608
389,0.1597
391,0.1586
396,0.1575
399,0.1565
404,0.1554
408,0.1544
412,0.1533
413,0.1523
413,0.1513
414,0.1503
417,0.1494
419,0.1484
419,0.1474
424,0.1465
426,0.1456
427,0.1447
430,0.1437
433,0.1429
438,0.1420
442,0.1411
446,0.1402
446,0.1394
447,0.1386
451,0.1377
451,0.1369
451,0.1361
454,0.1353
454,0.1345
456,0.1337
460,0.1329
464,0.1322
468,0.1314
472,0.1307
477,0.1299
479,0.1292
482,0.1285
482,0.1278
486,0.1271
486,0.1264
489,0.1257
491,0.1250
495,0.1243
499,0.1237
502,0.1230
506,0.1223
508,0.1217
512,0.1211
513,0.1204
515,0.1198
516,0.1192
521,0.1186
525,0.1179
527,0.1173
530,0.1168
531,0.1162
535,0.1156
538,0.1150
542,0.1144
546,0.1139
548,0.1133
551,0.1127
553,0.1122
554,0.1117
557,0.1111
562,0.1106
566,0.1100
570,0.1095
574,0.1090
576,0.1085
578,0.1080
582,0.1075
586,0.1070
589,0.1065
591,0.1060
594,0.1055
596,0.1050
597,0.1045
600,0.1041
605,0.1036
609,0.1031
610,0.1027
610,0.1022
611,0.1018
613,0.1013
614,0.1009
615,0.1004
619,0.1000
622,0.0996
623,0.0991
623,0.0987
626,0.0983
626,0.0979
626,0.0975
627,0.0970
630,0.0966
634,0.0962
637,0.0958
638,0.0954
638,0.0950
640,0.0947
643,0.0943
647,0.0939
651,0.0935
653,0.0931
656,0.0927
659,0.0924
660,0.0920
662,0.0916
664,0.0913
668,0.0909
669,0.0906
671,0.0902
671,0.0898
673,0.0895
677,0.0891
681,0.0888
682,0.0885
685,0.0881
686,0.0878
690,0.0875
690,0.0871
694,0.0868
696,0.0865
700,0.0861
702,0.0858
703,0.0855
708,0.0852
710,0.0849
715,0.0846
719,0.0842
719,0.0839
721,0.0836
722,0.0833
722,0.0830
722,0.0827
725,0.0824
726,0.0821
728,0.0819
729,0.0816
733,0.0813
734,0.0810
737,0.0807
741,0.0804
743,0.0801
746,0.0799
747,0.0796
749,0.0793
754,0.0790
756,0.0788
756,0.0785
759,0.0782
763,0.0780
764,0.0777
766,0.0774
767,0.0772
769,0.0769
771,0.0767
774,0.0764
775,0.0762
777,0.0759
778,0.0757
781,0.0754
784,0.0752
785,0.0749
787,0.0747
791,0.0744
795,0.0742
799,0.0740
804,0.0737
806,0.0735
806,0.0732
808,0.0730
808,0.0728
810,0.0726
814,0.0723
818,0.0721
821,0.0719
823,0.0717
826,0.0714
831,0.0712
835,0.0710
839,0.0708
841,0.0706
843,0.0703
845,0.0701
845,0.0699
850,0.0697
850,0.0695
851,0.0693
852,0.0691
854,0.0689
858,0.0687
862,0.0685
863,0.0682
868,0.0680
868,0.0678
870,0.0676
874,0.0674
875,0.0673
879,0.0671
883,0.0669
886,0.0667
888,0.0665
890,0.0663
894,0.0661
896,0.0659
897,0.0657
900,0.0655
900,0.0653
902,0.0652
904,0.0650
907,0.0648
909,0.0646
912,0.0644
916,0.0642
919,0.0641
924,0.0639
925,0.0637
928,0.0635
930,0.0634
935,0.0632
936,0.0630
939,0.0628
943,0.0627
948,0.0625
949,0.0623
950,0.0622
955,0.0620
957,0.0618
960,0.0617
960,0.0615
961,0.0613
965,0.0612
969,0.0610
969,0.0608
970,0.0607
973,0.0605
974,0.0604
976,0.0602
978,0.0601
982,0.0599
983,0.0597
988,0.0596
988,0.0594
990,0.0593
992,0.0591
993,0.0590
994,0.0588
997,0.0587
1000,0.0585
1001,0.0584
1006,0.0582
1006,0.0581
