# epsilon,trials,avdiff (omega=n)
0.01,10,-0.0007
0.01,20,0.0243
0.01,30,0.0243
0.01,40,-0.0007
0.01,50,0.0093
0.01,60,0.0160
0.01,70,0.0172
0.01,80,0.0181
0.01,90,0.0132
0.05,10,0.0743
0.05,20,-0.0007
0.05,30,0.0326
0.05,40,0.0243
0.05,50,0.0093
0.05,60,0.0243
0.05,70,0.0136
0.05,80,0.0243
0.05,90,0.0271
0.09,10,0.0243
0.09,20,0.0368
0.09,30,0.0410
0.09,40,0.0243
0.09,50,0.0193
0.09,60,0.0285
0.09,70,0.0207
0.09,80,0.0181
0.09,90,0.0215
0.13,10,0.0243
0.13,20,-0.0007
0.13,30,0.0576
0.13,40,0.0181
0.13,50,0.0143
0.13,60,0.0243
0.13,70,0.0279
0.13,80,0.0087
0.13,90,0.0076
0.17,10,-0.0007
0.17,20,0.0118
0.17,30,0.0410
0.17,40,-0.0007
0.17,50,0.0093
0.17,60,0.0076
0.17,70,0.0207
0.17,80,0.0306
0.17,90,0.0271
0.21,10,-0.0007
0.21,20,0.0118
0.21,30,0.0160
0.21,40,0.0118
0.21,50,0.0193
0.21,60,0.0118
0.21,70,0.0172
0.21,80,0.0181
0.21,90,0.0104
0.25,10,0.0243
0.25,20,0.0118
0.25,30,0.0243
0.25,40,0.0368
0.25,50,0.0243
0.25,60,0.0243
0.25,70,0.0207
0.25,80,0.0181
0.25,90,0.0076
0.29,10,0.0243
0.29,20,0.0118
0.29,30,0.0160
0.29,40,0.0181
0.29,50,0.0193
0.29,60,0.0285
0.29,70,0.0136
0.29,80,0.0243
0.29,90,0.0160
0.33,10,0.0243
0.33,20,0.0368
0.33,30,-0.0007
0.33,40,0.0306
0.33,50,0.0193
0.33,60,0.0076
0.33,70,0.0172
0.33,80,0.0181
0.33,90,0.0187
0.37,10,0.0243
0.37,20,-0.0007
0.37,30,0.0243
0.37,40,0.0181
0.37,50,0.0293
0.37,60,0.0160
0.37,70,0.0172
0.37,80,0.0149
0.37,90,0.0243
