# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.0416
0.01,6,0.0607
0.01,10,0.0457
0.01,14,0.0678
0.05,2,0.0107
0.05,6,0.0190
0.05,10,0.0457
0.05,14,0.0464
0.09,2,0.0857
0.09,6,0.0274
0.09,10,0.0207
0.09,14,0.0357
0.13,2,0.0107
0.13,6,0.0190
0.13,10,0.0357
0.13,14,0.0500
0.17,2,0.0357
0.17,6,0.0440
0.17,10,0.0307
0.17,14,0.0500
0.21,2,0.0857
0.21,6,0.0690
0.21,10,0.0357
0.21,14,0.0500
0.25,2,0.0607
0.25,6,0.0357
0.25,10,0.0857
0.25,14,0.0500
0.29,2,0.0357
0.29,6,0.0190
0.29,10,0.0157
0.29,14,0.0428
0.33,2,0.0107
0.33,6,0.0940
0.33,10,0.0307
0.33,14,0.0428
0.37,2,0.0107
0.37,6,0.0607
0.37,10,0.0307
0.37,14,0.0500
