# epsilon,trials,avdiff (omega=n)
0.01,10,0.9459
0.01,20,0.9459
0.01,30,0.9459
0.01,40,0.9459
0.01,50,0.9459
0.01,60,0.9459
0.01,70,0.9459
0.01,80,0.9459
0.01,90,0.9459
0.05,10,0.6959
0.05,20,0.6215
0.05,30,0.6625
0.05,40,0.6521
0.05,50,0.6459
0.05,60,0.6542
0.05,70,0.7137
0.05,80,0.6593
0.05,90,0.6845
0.09,10,0.6459
0.09,20,0.7084
0.09,30,0.6209
0.09,40,0.6334
0.09,50,0.7159
0.09,60,0.7042
0.09,70,0.6780
0.09,80,0.7302
0.09,90,0.6514
0.13,10,0.5209
0.13,20,0.6209
0.13,30,0.6625
0.13,40,0.7896
0.13,50,0.6509
0.13,60,0.6917
0.13,70,0.6994
0.13,80,0.6802
0.13,90,0.6597
0.17,10,0.7459
0.17,20,0.7084
0.17,30,0.6875
0.17,40,0.6209
0.17,50,0.6409
0.17,60,0.6917
0.17,70,0.6494
0.17,80,0.6584
0.17,90,0.6542
0.21,10,0.6959
0.21,20,0.6334
0.21,30,0.6625
0.21,40,0.6021
0.21,50,0.6109
0.21,60,0.6375
0.21,70,0.7137
0.21,80,0.7021
0.21,90,0.6653
0.25,10,0.7959
0.25,20,0.6834
0.25,30,0.6625
0.25,40,0.5959
0.25,50,0.6759
0.25,60,0.6209
0.25,70,0.6780
0.25,80,0.6677
0.25,90,0.6736
0.29,10,0.6709
0.29,20,0.6209
0.29,30,0.6125
0.29,40,0.6646
0.29,50,0.6859
0.29,60,0.6334
0.29,70,0.6494
0.29,80,0.6990
0.29,90,0.6514
0.33,10,0.5459
0.33,20,0.6584
0.33,30,0.5959
0.33,40,0.6709
0.33,50,0.6109
0.33,60,0.6792
0.33,70,0.6351
0.33,80,0.6396
0.33,90,0.6597
0.37,10,0.5709
0.37,20,0.5834
0.37,30,0.6542
0.37,40,0.6521
0.37,50,0.6559
0.37,60,0.6584
0.37,70,0.6744
0.37,80,0.6896
0.37,90,0.6431
