# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.9459
0.01,6,0.9459
0.01,10,0.9459
0.01,14,0.9459
0.05,2,0.6466
0.05,6,0.6375
0.05,10,0.6959
0.05,14,0.6709
0.09,2,0.6153
0.09,6,0.6375
0.09,10,0.6559
0.09,14,0.6423
0.13,2,0.6959
0.13,6,0.7042
0.13,10,0.6259
0.13,14,0.6244
0.17,2,0.5459
0.17,6,0.6875
0.17,10,0.6309
0.17,14,0.6816
0.21,2,0.6459
0.21,6,0.6792
0.21,10,0.6509
0.21,14,0.6244
0.25,2,0.5459
0.25,6,0.6875
0.25,10,0.6309
0.25,14,0.6959
0.29,2,0.7209
0.29,6,0.6959
0.29,10,0.7209
0.29,14,0.6780
0.33,2,0.5959
0.33,6,0.6792
0.33,10,0.6759
0.33,14,0.6494
0.37,2,0.6709
0.37,6,0.6792
0.37,10,0.6359
0.37,14,0.6959
