# numservices,target,services,k,avail(%),bestprice,time(ms),firstprice,firsttime(ms)
1,0.9000,1,1,0.9420,1.54,0.08,1.54,0.08
1,0.9100,1,1,0.9420,1.54,0.03,1.54,0.03
1,0.9200,1,1,0.9420,1.54,0.03,1.54,0.03
1,0.9300,1,1,0.9420,1.54,0.03,1.54,0.03
1,0.9400,1,1,0.9420,1.54,0.03,1.54,0.03
1,0.9500,0,0,0.0000,0.00,0.03,0.00,0.00
1,0.9600,0,0,0.0000,0.00,0.03,0.00,0.00
1,0.9700,0,0,0.0000,0.00,0.03,0.00,0.00
1,0.9800,0,0,0.0000,0.00,0.03,0.00,0.00
1,0.9900,0,0,0.0000,0.00,0.03,0.00,0.00
2,0.9000,1,1,0.9996,1.49,0.18,1.54,0.03
2,0.9100,1,1,0.9996,1.49,0.18,1.54,0.03
2,0.9200,1,1,0.9996,1.49,0.17,1.54,0.03
2,0.9300,1,1,0.9996,1.49,0.17,1.54,0.03
2,0.9400,1,1,0.9996,1.49,0.17,1.54,0.03
2,0.9500,1,1,0.9996,1.49,0.17,1.49,0.05
2,0.9600,1,1,0.9996,1.49,0.17,1.49,0.06
2,0.9700,1,1,0.9996,1.49,0.16,1.49,0.05
2,0.9800,1,1,0.9996,1.49,0.16,1.49,0.06
2,0.9900,1,1,0.9996,1.49,0.15,1.49,0.05
3,0.9000,1,1,0.9996,1.49,0.74,1.54,0.03
3,0.9100,1,1,0.9996,1.49,0.74,1.54,0.03
3,0.9200,1,1,0.9996,1.49,0.75,1.54,0.03
3,0.9300,1,1,0.9996,1.49,0.72,1.54,0.03
3,0.9400,1,1,0.9996,1.49,0.73,1.54,0.03
3,0.9500,1,1,0.9996,1.49,0.72,1.49,0.05
3,0.9600,1,1,0.9996,1.49,0.74,1.49,0.05
3,0.9700,1,1,0.9996,1.49,0.74,1.49,0.05
3,0.9800,1,1,0.9996,1.49,0.72,1.49,0.05
3,0.9900,1,1,0.9996,1.49,0.72,1.49,0.05
4,0.9000,1,1,0.9996,1.49,3.17,1.54,0.03
4,0.9100,1,1,0.9996,1.49,3.11,1.54,0.03
4,0.9200,1,1,0.9996,1.49,3.13,1.54,0.03
4,0.9300,1,1,0.9996,1.49,3.11,1.54,0.03
4,0.9400,1,1,0.9996,1.49,3.13,1.54,0.03
4,0.9500,1,1,0.9996,1.49,3.12,1.49,0.05
