# numservices[h],target(%),services[n],significant[k],overhead(%),avail(%),bestprice,time(ms),firstprice,firsttime(ms)
1,0.9000,1,1,0.00,0.9451,1.78,0.07,1.78,0.07
1,0.9100,1,1,0.00,0.9451,1.78,0.03,1.78,0.03
1,0.9200,1,1,0.00,0.9451,1.78,0.03,1.78,0.03
1,0.9300,1,1,0.00,0.9451,1.78,0.03,1.78,0.03
1,0.9400,1,1,0.00,0.9451,1.78,0.03,1.78,0.03
1,0.9500,0,0,0.00,0.0000,0.00,0.03,0.00,0.00
1,0.9600,0,0,0.00,0.0000,0.00,0.03,0.00,0.00
1,0.9700,0,0,0.00,0.0000,0.00,0.03,0.00,0.00
1,0.9800,0,0,0.00,0.0000,0.00,0.03,0.00,0.00
1,0.9900,0,0,0.00,0.0000,0.00,0.03,0.00,0.00
2,0.9000,1,1,0.00,0.9315,1.48,0.18,1.78,0.03
2,0.9100,1,1,0.00,0.9315,1.48,0.18,1.78,0.03
2,0.9200,1,1,0.00,0.9315,1.48,0.17,1.78,0.03
2,0.9300,1,1,0.00,0.9315,1.48,0.17,1.78,0.03
2,0.9400,1,1,0.00,0.9451,1.78,0.15,1.78,0.03
2,0.9500,2,1,1.00,0.9962,3.26,0.15,3.26,0.10
2,0.9600,2,1,1.00,0.9962,3.26,0.15,3.26,0.10
2,0.9700,2,1,1.00,0.9962,3.26,0.15,3.26,0.10
2,0.9800,2,1,1.00,0.9962,3.26,0.15,3.26,0.10
2,0.9900,2,1,1.00,0.9962,3.26,0.15,3.26,0.10
3,0.9000,1,1,0.00,0.9894,1.19,0.74,1.78,0.03
3,0.9100,1,1,0.00,0.9894,1.19,0.75,1.78,0.03
3,0.9200,1,1,0.00,0.9894,1.19,0.74,1.78,0.03
3,0.9300,1,1,0.00,0.9894,1.19,0.74,1.78,0.03
3,0.9400,1,1,0.00,0.9894,1.19,0.74,1.78,0.03
3,0.9500,1,1,0.00,0.9894,1.19,0.78,1.19,0.08
3,0.9600,1,1,0.00,0.9894,1.19,0.78,1.19,0.08
3,0.9700,1,1,0.00,0.9894,1.19,0.73,1.19,0.07
3,0.9800,1,1,0.00,0.9894,1.19,0.76,1.19,0.08
3,0.9900,2,1,1.00,0.9993,2.67,0.73,3.26,0.13
4,0.9000,1,1,0.00,0.9894,1.19,3.25,1.78,0.03
4,0.9100,1,1,0.00,0.9894,1.19,3.60,1.78,0.03
4,0.9200,1,1,0.00,0.9894,1.19,3.22,1.78,0.03
4,0.9300,1,1,0.00,0.9894,1.19,3.29,1.78,0.03
