# numservices[h],target(%),significant[k],overhead(%),avail(%),price,time(ms)
1,0.9000,1,0.00,0.9784,1.96,0.09
1,0.9100,1,0.00,0.9784,1.96,0.03
1,0.9200,1,0.00,0.9784,1.96,0.03
1,0.9300,1,0.00,0.9784,1.96,0.03
1,0.9400,1,0.00,0.9784,1.96,0.03
1,0.9500,1,0.00,0.9784,1.96,0.03
1,0.9600,1,0.00,0.9784,1.96,0.03
1,0.9700,1,0.00,0.9784,1.96,0.03
1,0.9800,1,0.00,0.9784,0.00,0.03
1,0.9900,1,0.00,0.9784,0.00,0.03
2,0.9000,2,0.00,0.9314,3.56,0.06
2,0.9100,2,0.00,0.9314,3.56,0.06
2,0.9200,2,0.00,0.9314,3.56,0.06
2,0.9300,2,0.00,0.9314,3.56,0.09
2,0.9400,2,0.00,0.9314,0.00,0.06
2,0.9500,2,0.00,0.9314,0.00,0.06
2,0.9600,2,0.00,0.9314,0.00,0.06
2,0.9700,2,0.00,0.9314,0.00,0.06
2,0.9800,2,0.00,0.9314,0.00,0.06
2,0.9900,2,0.00,0.9314,0.00,0.06
3,0.9000,3,0.00,0.8724,0.00,0.13
3,0.9100,3,0.00,0.8724,0.00,0.12
3,0.9200,3,0.00,0.8724,0.00,0.13
3,0.9300,3,0.00,0.8724,0.00,0.11
3,0.9400,3,0.00,0.8724,0.00,0.11
3,0.9500,3,0.00,0.8724,0.00,0.11
3,0.9600,3,0.00,0.8724,0.00,0.11
3,0.9700,3,0.00,0.8724,0.00,0.11
3,0.9800,3,0.00,0.8724,0.00,0.11
3,0.9900,3,0.00,0.8724,0.00,0.11
4,0.9000,4,0.00,0.7856,0.00,0.27
4,0.9100,4,0.00,0.7856,0.00,0.26
4,0.9200,4,0.00,0.7856,0.00,0.27
4,0.9300,4,0.00,0.7856,0.00,0.26
4,0.9400,4,0.00,0.7856,0.00,0.26
4,0.9500,4,0.00,0.7856,0.00,0.26
4,0.9600,4,0.00,0.7856,0.00,0.37
4,0.9700,4,0.00,0.7856,0.00,0.26
4,0.9800,4,0.00,0.7856,0.00,0.28
4,0.9900,4,0.00,0.7856,0.00,0.27
5,0.9000,5,0.00,0.7673,0.00,0.58
5,0.9100,5,0.00,0.7673,0.00,0.57
5,0.9200,5,0.00,0.7673,0.00,0.58
5,0.9300,5,0.00,0.7673,0.00,0.57
5,0.9400,5,0.00,0.7673,0.00,0.58
5,0.9500,5,0.00,0.7673,0.00,0.58
5,0.9600,5,0.00,0.7673,0.00,0.59
5,0.9700,5,0.00,0.7673,0.00,0.57
5,0.9800,5,0.00,0.7673,0.00,0.58
5,0.9900,5,0.00,0.7673,0.00,0.57
6,0.9000,6,0.00,0.7158,0.00,1.36
6,0.9100,6,0.00,0.7158,0.00,1.32
6,0.9200,6,0.00,0.7158,0.00,1.29
6,0.9300,6,0.00,0.7158,0.00,1.29
6,0.9400,6,0.00,0.7158,0.00,1.30
6,0.9500,6,0.00,0.7158,0.00,1.29
6,0.9600,6,0.00,0.7158,0.00,1.33
6,0.9700,6,0.00,0.7158,0.00,1.40
6,0.9800,6,0.00,0.7158,0.00,1.29
6,0.9900,6,0.00,0.7158,0.00,1.29
7,0.9000,7,0.00,0.6763,0.00,2.89
7,0.9100,7,0.00,0.6763,0.00,2.86
7,0.9200,7,0.00,0.6763,0.00,2.85
7,0.9300,7,0.00,0.6763,0.00,2.82
7,0.9400,7,0.00,0.6763,0.00,2.93
7,0.9500,7,0.00,0.6763,0.00,2.85
7,0.9600,7,0.00,0.6763,0.00,3.76
7,0.9700,7,0.00,0.6763,0.00,2.83
7,0.9800,7,0.00,0.6763,0.00,2.85
7,0.9900,7,0.00,0.6763,0.00,2.86
8,0.9000,8,0.00,0.6631,0.00,6.36
8,0.9100,8,0.00,0.6631,0.00,6.32
8,0.9200,8,0.00,0.6631,0.00,6.46
8,0.9300,8,0.00,0.6631,0.00,6.27
8,0.9400,8,0.00,0.6631,0.00,6.28
8,0.9500,8,0.00,0.6631,0.00,6.39
8,0.9600,8,0.00,0.6631,0.00,6.24
8,0.9700,8,0.00,0.6631,0.00,6.38
8,0.9800,8,0.00,0.6631,0.00,6.25
8,0.9900,8,0.00,0.6631,0.00,6.28
9,0.9000,9,0.00,0.5996,0.00,14.01
9,0.9100,9,0.00,0.5996,0.00,13.84
9,0.9200,9,0.00,0.5996,0.00,13.80
9,0.9300,9,0.00,0.5996,0.00,13.86
9,0.9400,9,0.00,0.5996,0.00,13.81
9,0.9500,9,0.00,0.5996,0.00,13.92
9,0.9600,9,0.00,0.5996,0.00,13.91
9,0.9700,9,0.00,0.5996,0.00,13.79
9,0.9800,9,0.00,0.5996,0.00,13.82
9,0.9900,9,0.00,0.5996,0.00,13.82
10,0.9000,10,0.00,0.5525,0.00,30.39
10,0.9100,10,0.00,0.5525,0.00,30.01
10,0.9200,10,0.00,0.5525,0.00,30.06
10,0.9300,10,0.00,0.5525,0.00,29.99
10,0.9400,10,0.00,0.5525,0.00,30.14
10,0.9500,10,0.00,0.5525,0.00,30.37
10,0.9600,10,0.00,0.5525,0.00,30.15
10,0.9700,10,0.00,0.5525,0.00,30.25
10,0.9800,10,0.00,0.5525,0.00,30.06
10,0.9900,10,0.00,0.5525,0.00,30.11
