# numservices[h/n],target(%),factor,significant[k],overhead(%),avail(%),price,time(ms)
1,0.9000,1,1,0.00,0.9382,1.58,0.13
1,0.9000,2,2,0.50,0.9382,1.58,0.10
1,0.9000,3,3,0.67,0.9382,1.58,0.15
1,0.9000,4,4,0.75,0.9382,1.58,0.22
1,0.9100,1,1,0.00,0.9382,1.58,0.05
1,0.9100,2,2,0.50,0.9382,1.58,0.10
1,0.9100,3,3,0.67,0.9382,1.58,0.15
1,0.9100,4,4,0.75,0.9382,1.58,0.21
1,0.9200,1,1,0.00,0.9382,1.58,0.05
1,0.9200,2,2,0.50,0.9382,1.58,0.09
1,0.9200,3,3,0.67,0.9382,1.58,0.14
1,0.9200,4,4,0.75,0.9382,1.58,0.19
1,0.9300,1,1,0.00,0.9382,1.58,0.05
1,0.9300,2,2,0.50,0.9382,1.58,0.09
1,0.9300,3,3,0.67,0.9382,1.58,0.14
1,0.9300,4,4,0.75,0.9382,1.58,0.19
1,0.9400,1,1,0.00,0.0000,0.00,1.24
1,0.9400,2,1,0.00,0.0000,0.00,1.27
1,0.9400,3,1,0.00,0.0000,0.00,1.23
1,0.9400,4,1,0.00,0.0000,0.00,1.25
1,0.9500,1,1,0.00,0.0000,0.00,1.31
1,0.9500,2,1,0.00,0.0000,0.00,1.35
1,0.9500,3,1,0.00,0.0000,0.00,1.23
1,0.9500,4,1,0.00,0.0000,0.00,1.28
1,0.9600,1,1,0.00,0.0000,0.00,1.23
1,0.9600,2,1,0.00,0.0000,0.00,1.23
1,0.9600,3,1,0.00,0.0000,0.00,1.26
1,0.9600,4,1,0.00,0.0000,0.00,1.25
1,0.9700,1,1,0.00,0.0000,0.00,1.23
1,0.9700,2,1,0.00,0.0000,0.00,1.27
1,0.9700,3,1,0.00,0.0000,0.00,1.27
1,0.9700,4,1,0.00,0.0000,0.00,1.25
1,0.9800,1,1,0.00,0.0000,0.00,1.23
1,0.9800,2,1,0.00,0.0000,0.00,1.26
1,0.9800,3,1,0.00,0.0000,0.00,1.23
1,0.9800,4,1,0.00,0.0000,0.00,1.23
1,0.9900,1,1,0.00,0.0000,0.00,1.26
1,0.9900,2,1,0.00,0.0000,0.00,1.23
1,0.9900,3,1,0.00,0.0000,0.00,1.23
1,0.9900,4,1,0.00,0.0000,0.00,1.39
2,0.9000,1,2,0.00,0.9578,2.62,0.08
2,0.9000,2,1,0.00,0.0000,0.00,1.68
2,0.9000,3,1,0.00,0.0000,0.00,1.68
2,0.9000,4,1,0.00,0.0000,0.00,1.66
2,0.9100,1,2,0.00,0.9578,2.62,0.08
2,0.9100,2,1,0.00,0.0000,0.00,1.73
2,0.9100,3,1,0.00,0.0000,0.00,1.68
2,0.9100,4,1,0.00,0.0000,0.00,1.65
2,0.9200,1,2,0.00,0.9578,2.62,0.08
2,0.9200,2,1,0.00,0.0000,0.00,1.67
