# numservices[h],target(%),significant[k],overhead(%),avail(%),price,time(ms)
1,0.9000,1,0.00,0.9064,1.54,0.09
1,0.9100,1,0.00,0.9064,0.00,0.03
1,0.9200,1,0.00,0.9064,0.00,0.03
1,0.9300,1,0.00,0.9064,0.00,0.03
1,0.9400,1,0.00,0.9064,0.00,0.03
1,0.9500,1,0.00,0.9064,0.00,0.03
1,0.9600,1,0.00,0.9064,0.00,0.03
1,0.9700,1,0.00,0.9064,0.00,0.03
1,0.9800,1,0.00,0.9064,0.00,0.03
1,0.9900,1,0.00,0.9064,0.00,0.03
2,0.9000,2,0.50,0.9176,2.63,0.06
2,0.9100,2,0.50,0.9176,2.63,0.06
2,0.9200,2,0.00,0.9176,0.00,0.11
2,0.9300,2,0.00,0.9176,0.00,0.10
2,0.9400,2,0.00,0.9176,0.00,0.09
2,0.9500,2,0.00,0.9176,0.00,0.06
2,0.9600,2,0.00,0.9176,0.00,0.06
2,0.9700,2,0.00,0.9176,0.00,0.06
2,0.9800,2,0.00,0.9176,0.00,0.06
2,0.9900,2,0.00,0.9176,0.00,0.06
3,0.9000,3,1.00,0.9983,3.85,0.13
3,0.9100,3,1.00,0.9983,3.85,0.13
3,0.9200,3,1.00,0.9983,3.85,0.13
3,0.9300,3,1.00,0.9983,3.85,0.12
3,0.9400,3,1.00,0.9983,3.85,0.12
3,0.9500,3,1.00,0.9983,3.85,0.11
3,0.9600,3,1.00,0.9983,3.85,0.11
3,0.9700,3,1.00,0.9983,3.85,0.11
3,0.9800,3,1.00,0.9983,3.85,0.11
3,0.9900,3,1.00,0.9983,3.85,0.14
4,0.9000,4,1.50,0.9991,5.59,0.27
4,0.9100,4,1.50,0.9991,5.59,0.25
4,0.9200,4,1.50,0.9991,5.59,0.26
4,0.9300,4,1.50,0.9991,5.59,0.26
4,0.9400,4,1.50,0.9991,5.59,0.26
4,0.9500,4,1.50,0.9991,5.59,0.26
4,0.9600,4,1.50,0.9991,5.59,0.26
4,0.9700,4,1.50,0.9991,5.59,0.26
4,0.9800,4,1.50,0.9991,5.59,0.26
4,0.9900,4,1.50,0.9991,5.59,0.26
5,0.9000,5,2.00,0.9999,6.73,0.57
5,0.9100,5,2.00,0.9999,6.73,0.56
5,0.9200,5,2.00,0.9999,6.73,0.60
5,0.9300,5,2.00,0.9999,6.73,0.57
5,0.9400,5,2.00,0.9999,6.73,0.57
5,0.9500,5,2.00,0.9999,6.73,0.56
5,0.9600,5,2.00,0.9999,6.73,0.56
5,0.9700,5,2.00,0.9999,6.73,0.56
5,0.9800,5,2.00,0.9999,6.73,0.57
5,0.9900,5,2.00,0.9999,6.73,0.60
6,0.9000,6,2.50,1.0000,8.02,1.27
6,0.9100,6,2.50,1.0000,8.02,1.33
6,0.9200,6,2.50,1.0000,8.02,1.31
6,0.9300,6,2.50,1.0000,8.02,1.27
6,0.9400,6,2.50,1.0000,8.02,1.38
6,0.9500,6,2.50,1.0000,8.02,1.31
6,0.9600,6,2.50,1.0000,8.02,1.27
6,0.9700,6,2.50,1.0000,8.02,1.28
6,0.9800,6,2.50,1.0000,8.02,1.28
6,0.9900,6,2.50,1.0000,8.02,1.27
7,0.9000,7,3.00,1.0000,9.66,2.84
7,0.9100,7,3.00,1.0000,9.66,2.80
7,0.9200,7,3.00,1.0000,9.66,2.93
7,0.9300,7,3.00,1.0000,9.66,2.90
7,0.9400,7,3.00,1.0000,9.66,2.93
7,0.9500,7,3.00,1.0000,9.66,2.87
7,0.9600,7,3.00,1.0000,9.66,2.81
7,0.9700,7,3.00,1.0000,9.66,2.84
7,0.9800,7,3.00,1.0000,9.66,2.99
7,0.9900,7,3.00,1.0000,9.66,2.89
8,0.9000,8,3.50,1.0000,10.76,6.18
8,0.9100,8,3.50,1.0000,10.76,6.26
8,0.9200,8,3.50,1.0000,10.76,6.25
8,0.9300,8,3.50,1.0000,10.76,6.15
8,0.9400,8,3.50,1.0000,10.76,6.33
8,0.9500,8,3.50,1.0000,10.76,6.15
8,0.9600,8,3.50,1.0000,10.76,6.16
8,0.9700,8,3.50,1.0000,10.76,6.26
8,0.9800,8,3.50,1.0000,10.76,6.12
8,0.9900,8,3.50,1.0000,10.76,6.18
9,0.9000,9,4.00,1.0000,11.74,13.77
9,0.9100,9,4.00,1.0000,11.74,13.86
9,0.9200,9,4.00,1.0000,11.74,13.63
9,0.9300,9,4.00,1.0000,11.74,13.60
9,0.9400,9,4.00,1.0000,11.74,13.66
9,0.9500,9,4.00,1.0000,11.74,13.82
9,0.9600,9,4.00,1.0000,11.74,13.63
9,0.9700,9,4.00,1.0000,11.74,13.56
9,0.9800,9,4.00,1.0000,11.74,13.56
9,0.9900,9,4.00,1.0000,11.74,13.97
10,0.9000,10,4.50,1.0000,13.03,36.14
10,0.9100,10,4.50,1.0000,13.03,59.27
10,0.9200,10,4.50,1.0000,13.03,47.04
10,0.9300,10,4.50,1.0000,13.03,29.59
10,0.9400,10,4.50,1.0000,13.03,29.89
10,0.9500,10,4.50,1.0000,13.03,29.57
10,0.9600,10,4.50,1.0000,13.03,29.57
10,0.9700,10,4.50,1.0000,13.03,29.39
10,0.9800,10,4.50,1.0000,13.03,29.72
10,0.9900,10,4.50,1.0000,13.03,29.51
